"nodeID_from","nodeID_to","mode","line","year"
16,17,"default","993-bondinho-do-pao-de-acucar",1912
18,19,"default","993-bondinho-do-pao-de-acucar",1913
12,88,"light_rail","991-linha-2",2017
8,88,"light_rail","992-linha-3",2019
1,8,"light_rail","990-linha-1",2016
1,8,"light_rail","992-linha-3",2016
22,25,"heavy_rail","986-linha-1",1979
25,31,"heavy_rail","986-linha-1",1982
48,50,"heavy_rail","987-linha-2",0
31,34,"heavy_rail","986-linha-1",2014
38,39,"heavy_rail","987-linha-2",1983
37,39,"heavy_rail","987-linha-2",1981
25,37,"heavy_rail","987-linha-2",1981
45,47,"heavy_rail","987-linha-2",0
47,48,"heavy_rail","987-linha-2",0
50,51,"heavy_rail","987-linha-2",1998
35,51,"heavy_rail","987-linha-2",1998
42,46,"heavy_rail","987-linha-2",0
45,46,"heavy_rail","987-linha-2",0
38,104,"heavy_rail","987-linha-2",0
41,42,"heavy_rail","987-linha-2",0
41,104,"heavy_rail","987-linha-2",0
22,25,"heavy_rail","987-linha-2",1979
22,53,"heavy_rail","986-linha-1",0
53,106,"heavy_rail","988-linha-4",2016
65,70,"heavy_rail","1009-ramal-santa-cruz",0
77,80,"heavy_rail","1009-ramal-santa-cruz",0
60,106,"heavy_rail","988-linha-4",2016
62,65,"heavy_rail","1009-ramal-santa-cruz",0
70,75,"heavy_rail","1009-ramal-santa-cruz",0
74,77,"heavy_rail","1009-ramal-santa-cruz",0
74,75,"heavy_rail","1009-ramal-santa-cruz",0
86,88,"light_rail","991-linha-2",2017
86,88,"light_rail","992-linha-3",2017
99,100,"ferry","989-praca-xv–arariboia",0
89,96,"light_rail","990-linha-1",2016
89,96,"light_rail","991-linha-2",2016
86,96,"light_rail","991-linha-2",2017
10,96,"light_rail","990-linha-1",2017
94,96,"light_rail","991-linha-2",2017
8,94,"light_rail","990-linha-1",2016
2,94,"light_rail","990-linha-1",2016
2,94,"light_rail","991-linha-2",2016
94,96,"light_rail","990-linha-1",2016
99,101,"ferry","1080-praca-xv–charitas",0
38,102,"heavy_rail","1012-ramal-belford-roxo",1858
38,102,"heavy_rail","1010-ramal-deodoro",1858
38,102,"heavy_rail","1011-ramal-japeri",1858
38,102,"heavy_rail","1009-ramal-santa-cruz",1858
38,102,"heavy_rail","1013-ramal-saracuna",1858
38,104,"heavy_rail","1012-ramal-belford-roxo",0
38,104,"heavy_rail","1013-ramal-saracuna",0
80,109,"heavy_rail","1011-ramal-japeri",0
83,108,"heavy_rail","1012-ramal-belford-roxo",0
38,80,"heavy_rail","1010-ramal-deodoro",1858
38,80,"heavy_rail","1011-ramal-japeri",1858
38,80,"heavy_rail","1009-ramal-santa-cruz",1858
56,106,"heavy_rail","988-linha-4",
59,106,"heavy_rail","988-linha-4",
80,109,"heavy_rail","1011-ramal-japeri",
109,110,"heavy_rail","1011-ramal-japeri",1900
110,111,"heavy_rail","1011-ramal-japeri",1900
111,115,"heavy_rail","1011-ramal-japeri",1900
113,115,"heavy_rail","1011-ramal-japeri",1900
115,117,"heavy_rail","1011-ramal-japeri",1900
116,117,"heavy_rail","1011-ramal-japeri",1900
