"nodeID_from","nodeID_to","mode","line","year"
1,14,"default","237-mc",2014
46,49,"default","238-ma",2000
15,21,"default","237-mc",2015
23,24,"default","238-ma",1980
44,46,"default","238-ma",1999
87,88,"default","250-roma-lido",1924
24,64,"default","238-ma",1980
44,64,"default","238-ma",1980
52,55,"default","239-mb",2012
55,56,"default","239-mb",2015
38,63,"default","239-mb",1990
88,90,"default","250-roma-lido",1948
78,88,"default","250-roma-lido",1924
38,74,"default","239-mb",1955
93,118,"default","251-roma-viterbo",1932
90,91,"default","250-roma-lido",1949
91,92,"default","250-roma-lido",1959
14,15,"default","237-mc",2014
21,35,"default","237-mc",2018
35,77,"default","237-mc",2025
77,119,"default","237-mc",2032
15,120,"light_rail","4585-roma-giardinetti",1916
