"nodeID_from","nodeID_to","mode","line","year"
6,7,"default","1006-linha-1",2015
13,15,"default","1007-linha-2",2017
15,17,"default","1007-linha-2",2017
2,3,"default","1006-linha-1",0
3,5,"default","1006-linha-1",2014
7,8,"default","1006-linha-1",2015
13,14,"default","1007-linha-2",2017
1,2,"default","1006-linha-1",2014
10,11,"default","1007-linha-2",2017
9,10,"default","1007-linha-2",2016
11,14,"default","1007-linha-2",2017
5,9,"default","1007-linha-2",2016
5,6,"default","1006-linha-1",2014
16,18,"default","1007-linha-2",2017
17,18,"default","1007-linha-2",2017
