"nodeID_from","nodeID_to","mode","line","year"
10,12,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1978
5,10,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1975
1,5,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1958
1,3,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1955
13,35,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1963
3,15,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1955
13,25,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1961
15,20,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1955
17,20,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1977
20,21,"heavy_rail","3615-line-1-(kirovsko-vyborgskaya-line)",1966
23,25,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1961
22,23,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1969
22,28,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1972
35,42,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1963
42,44,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1963
44,47,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1982
49,50,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",2006
47,49,"heavy_rail","3616-line-2-(moskovsko-petrogradskaya-line)",1988
51,61,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1967
51,52,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1967
59,61,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1970
52,56,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1979
53,56,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",2018
58,62,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1984
58,59,"heavy_rail","3617-line-3-(nevsko-vasileostrovskaya-line)",1981
65,66,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1987
66,68,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1985
33,68,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1991
33,63,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",2009
33,35,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1991
34,35,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1991
34,35,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2009
34,41,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1997
34,41,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2009
39,41,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",1999
39,41,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2009
32,39,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",2005
32,39,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2009
33,35,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2009
29,37,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2012
33,37,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2008
29,71,"heavy_rail","3619-line-5-(frunzensko-primorskaya-line)",2019
63,75,"heavy_rail","3618-line-4-(-lakhtinsko-pravoberezhnaya-line)",2024
76,77,"heavy_rail","5033-line-6-(krasnoselsko-kalininskaya-line)",2025
