"nodeID_from","nodeID_to","mode","line","year"
129,130,"heavy_rail","271-linha-11---coral",1875
125,126,"heavy_rail","271-linha-11---coral",1875
151,154,"light_rail","279-expresso-turistico-•-luz-mogi-das-cruzes",2009
168,171,"heavy_rail","264-linha-5---lilas",2018
4,191,"heavy_rail","265-linha-15---prata",2018
118,124,"heavy_rail","264-linha-5---lilas",2014
26,31,"heavy_rail","266-linha-4---amarela",2011
119,124,"heavy_rail","264-linha-5---lilas",2002
25,116,"heavy_rail","266-linha-4---amarela",2011
19,21,"heavy_rail","263-linha-3---vermelha",1980
35,37,"heavy_rail","261-linha-1---azul",1974
16,19,"heavy_rail","263-linha-3---vermelha",1979
17,37,"heavy_rail","261-linha-1---azul",1975
25,26,"heavy_rail","266-linha-4---amarela",2010
3,6,"heavy_rail","262-linha-2---vermelha",1992
17,22,"heavy_rail","261-linha-1---azul",1998
9,10,"heavy_rail","262-linha-2---vermelha",1992
6,9,"heavy_rail","262-linha-2---vermelha",1991
43,59,"heavy_rail","263-linha-3---vermelha",1988
16,58,"heavy_rail","263-linha-3---vermelha",1982
116,165,"heavy_rail","266-linha-4---amarela",2018
160,161,"heavy_rail","277-linha-13-•-jade",2018
21,137,"heavy_rail","263-linha-3---vermelha",1981
61,80,"heavy_rail","268-linha-8---diamante",1875
82,84,"heavy_rail","263-linha-3---vermelha",1988
82,137,"heavy_rail","263-linha-3---vermelha",1986
118,171,"heavy_rail","264-linha-5---lilas",2017
1,3,"heavy_rail","262-linha-2---vermelha",1998
130,138,"heavy_rail","272-linha-12---safira",1934
237,238,"bus","289-linha-d-•-itapevi-butanta",
38,124,"bus","600-capelinha-ibirapuera-centro-(sptrans)",2004
166,250,"bus","596-santo-amaro-nove-de-julho-centro",2000
239,242,"bus","598-parelheiros-rio-bonito-santo-amaro-(sptrans)",2004
124,243,"bus","597-jd.-angela-guarapiranga-santo-amaro-(sptrans)",2004
234,235,"bus","289-linha-d-•-itapevi-butanta",2018
235,237,"bus","289-linha-d-•-itapevi-butanta",
90,242,"bus","595-campo-limpo-reboucas-centro-(sptrans)",2004
62,176,"bus","593-pirituba-lapa-centro-(sptrans)",2003
183,249,"bus","593-pirituba-lapa-centro-(sptrans)",2003
58,248,"bus","594-inajar-rio-branco-centro-(sptrans)",1991
38,168,"bus","600-capelinha-ibirapuera-centro-(sptrans)",2004
47,58,"bus","593-pirituba-lapa-centro-(sptrans)",2003
104,138,"heavy_rail","270-linha-10---turquesa",1867
11,168,"heavy_rail","264-linha-5---lilas",2018
15,216,"heavy_rail","276-linha-18-•-bronze",999999
203,204,"light_rail","282-trem-dos-imigrantes-(abpf)",1967
149,202,"light_rail","281-trem-dos-ingleses-(abpf)",1867
209,210,"light_rail","283-trem-de-guararema-(abpf)",1876
205,207,"light_rail","284-estrada-de-ferro-perus-pirapora-(ifppc)",1914
5,114,"brt","285-expresso-tiradentes-(sptrans)",2009
114,226,"brt","285-expresso-tiradentes-(sptrans)",2007
114,224,"brt","285-expresso-tiradentes-(sptrans)",2007
222,224,"brt","285-expresso-tiradentes-(sptrans)",2007
225,226,"brt","285-expresso-tiradentes-(sptrans)",2007
58,59,"heavy_rail","263-linha-3---vermelha",1983
130,134,"heavy_rail","271-linha-11---coral",1875
217,219,"bus","286-linha-a-•-corredor-abd",1988
211,216,"bus","286-linha-a-•-corredor-abd",1990
231,232,"bus","288-linha-c-•-guarulhos-tucuruvi-(emtu)",2013
21,230,"bus","601-paes-de-barros-(sptrans)",1970
232,233,"bus","288-linha-c-•-guarulhos-tucuruvi-(emtu)",2014
129,130,"heavy_rail","272-linha-12---safira",
104,134,"heavy_rail","271-linha-11---coral",1875
43,104,"heavy_rail","271-linha-11---coral",2025
153,202,"light_rail","280-expresso-turistico-•-luz-paranapiacaba",2009
66,89,"heavy_rail","269-linha-9---esmeralda",1957
10,13,"heavy_rail","262-linha-2---vermelha",2006
105,138,"heavy_rail","270-linha-10---turquesa",1867
4,5,"heavy_rail","265-linha-15---prata",2014
126,129,"heavy_rail","271-linha-11---coral",1875
5,13,"heavy_rail","262-linha-2---vermelha",2010
194,199,"heavy_rail","274-linha-17-•-ouro",999999
97,211,"bus","287-linha-b-•-diadema-brooklin-(emtu)",2010
28,158,"heavy_rail","275-linha-6-•-laranja",
159,191,"heavy_rail","265-linha-15---prata",2019
157,165,"heavy_rail","266-linha-4---amarela",2021
5,114,"heavy_rail","265-linha-15---prata",9999
89,156,"heavy_rail","269-linha-9---esmeralda",2021
155,156,"heavy_rail","269-linha-9---esmeralda",2025
159,258,"heavy_rail","265-linha-15---prata",2021
264,265,"ferry","6354-aquatico-sp",2024
43,104,"heavy_rail","270-linha-10---turquesa",2025
5,82,"heavy_rail","262-linha-2---vermelha",9999
