"nodeID_from","nodeID_to","mode","line","year"
122,527,"heavy_rail","136-line-18",2021
448,502,"heavy_rail","136-line-18",2020
122,448,"heavy_rail","136-line-18",2021
58,108,"heavy_rail","121-line-3",2000
71,76,"heavy_rail","121-line-3",2000
71,108,"heavy_rail","122-line-4",2004
71,108,"heavy_rail","121-line-3",2000
25,28,"heavy_rail","119-line-1",2007
41,47,"heavy_rail","120-line-2",2010
258,260,"heavy_rail","123-line-5",2007
260,261,"heavy_rail","123-line-5",2011
89,90,"heavy_rail","127-line-9",2002
334,341,"heavy_rail","129-line-11",2010
100,395,"heavy_rail","127-line-9",2017
341,442,"heavy_rail","129-line-11",2013
104,130,"heavy_rail","128-line-10",2010
306,401,"heavy_rail","131-line-13",2018
287,293,"heavy_rail","131-line-13",2013
145,146,"heavy_rail","130-line-12",2014
146,162,"heavy_rail","130-line-12",2015
76,205,"heavy_rail","121-line-3",2006
483,501,"heavy_rail","138-line-15",2020
235,258,"heavy_rail","123-line-5",2007
16,20,"heavy_rail","119-line-1",2004
40,45,"heavy_rail","120-line-2",2006
45,49,"heavy_rail","120-line-2",2010
41,47,"tram","150-zhangjiang-tram",2009
29,65,"heavy_rail","120-line-2",1999
47,57,"heavy_rail","120-line-2",2010
1,4,"heavy_rail","119-line-1",1993
4,5,"heavy_rail","119-line-1",1993
5,8,"heavy_rail","119-line-1",1996
29,41,"heavy_rail","120-line-2",2000
20,25,"heavy_rail","119-line-1",2004
78,86,"heavy_rail","127-line-9",2007
39,337,"heavy_rail","129-line-11",2009
101,126,"heavy_rail","128-line-10",2010
86,89,"heavy_rail","127-line-9",2007
99,100,"heavy_rail","127-line-9",2011
90,99,"heavy_rail","127-line-9",2009
188,206,"heavy_rail","126-line-8",2007
188,234,"heavy_rail","126-line-8",2009
39,311,"heavy_rail","129-line-11",2013
310,311,"heavy_rail","129-line-11",2015
126,236,"heavy_rail","128-line-10",2020
1,16,"heavy_rail","119-line-1",1995
406,471,"heavy_rail","135-line-17",2018
131,145,"heavy_rail","130-line-12",2013
375,386,"heavy_rail","137-line-14",2021
303,306,"heavy_rail","131-line-13",2015
163,169,"heavy_rail","125-line-7",2010
309,310,"heavy_rail","129-line-11",2016
446,448,"heavy_rail","132-line-16",2014
296,303,"heavy_rail","131-line-13",2015
401,404,"heavy_rail","131-line-13",2018
358,375,"heavy_rail","137-line-14",2021
446,459,"heavy_rail","132-line-16",2013
169,195,"heavy_rail","125-line-7",2009
293,296,"heavy_rail","131-line-13",2014
472,483,"heavy_rail","138-line-15",2020
345,357,"heavy_rail","122-line-4",2007
57,448,"high_speed_rail","134-maglev",2004
357,408,"heavy_rail","122-line-4",2005
108,345,"heavy_rail","122-line-4",2005
262,285,"brt","147-route-71-yan'an-ebrt",2017
405,418,"heavy_rail","124-line-5",0
418,422,"heavy_rail","124-line-5",0
422,423,"heavy_rail","124-line-5",0
423,424,"heavy_rail","124-line-5",0
424,425,"heavy_rail","124-line-5",0
425,426,"heavy_rail","124-line-5",0
426,427,"heavy_rail","124-line-5",0
78,438,"heavy_rail","127-line-9",0
438,439,"heavy_rail","127-line-9",0
439,440,"heavy_rail","127-line-9",0
442,444,"heavy_rail","129-line-11",0
442,444,"heavy_rail","129-line-11",0
