"nodeID_from","nodeID_to","mode","line","year"
15,70,"heavy_rail","1021-circle-line",2012
1,12,"heavy_rail","1019-north-south-line",1987
1,13,"heavy_rail","1019-north-south-line",1989
12,15,"heavy_rail","1019-north-south-line",1990
15,16,"heavy_rail","1019-north-south-line",2014
13,20,"heavy_rail","1019-north-south-line",1996
32,35,"heavy_rail","1020-east-west-line",1987
32,54,"heavy_rail","1020-east-west-line",1988
35,47,"heavy_rail","1020-east-west-line",1990
47,55,"heavy_rail","1020-east-west-line",1990
51,202,"heavy_rail","1020-east-west-line",2001
59,202,"heavy_rail","1020-east-west-line",2002
54,249,"heavy_rail","1020-east-west-line",1990
62,249,"heavy_rail","1020-east-west-line",2009
62,66,"heavy_rail","1020-east-west-line",2017
67,72,"heavy_rail","1021-circle-line",2010
72,78,"heavy_rail","1021-circle-line",2010
78,82,"heavy_rail","1021-circle-line",2009
89,112,"heavy_rail","1021-circle-line",2011
82,89,"heavy_rail","1021-circle-line",2011
94,142,"heavy_rail","1022-north-east-line",2003
113,118,"light_rail","1027-pukit-panjang-lrt",1999
126,186,"light_rail","1027-pukit-panjang-lrt",1999
97,142,"light_rail","1025-punggol-lrt",2005
157,158,"people_mover","2106-changi-airport-skytrain",1990
157,160,"people_mover","2106-changi-airport-skytrain",2007
162,163,"people_mover","2106-changi-airport-skytrain",2007
161,162,"people_mover","2106-changi-airport-skytrain",2007
159,160,"people_mover","2106-changi-airport-skytrain",2007
164,167,"people_mover","2107-sentosa-express",2007
43,173,"heavy_rail","1023-downtown-line",2013
43,186,"heavy_rail","1023-downtown-line",2015
188,196,"heavy_rail","1023-downtown-line",2017
173,188,"heavy_rail","1023-downtown-line",2017
202,203,"heavy_rail","1023-downtown-line",2025
196,202,"heavy_rail","1023-downtown-line",2017
203,245,"heavy_rail","1023-downtown-line",2025
237,245,"heavy_rail","1024-thompson-east-coast-line",2025
142,239,"heavy_rail","1022-north-east-line",2024
240,241,"inter_city_rail","2110-shuttle-tebrau",2015
241,242,"inter_city_rail","2132-north-south-line",1932
205,207,"heavy_rail","1024-thompson-east-coast-line",2020
207,213,"heavy_rail","1024-thompson-east-coast-line",2021
213,226,"heavy_rail","1024-thompson-east-coast-line",2023
226,237,"heavy_rail","1024-thompson-east-coast-line",2024
15,112,"heavy_rail","1021-circle-line",2026
20,52,"heavy_rail","2093-branch-line",1990
20,52,"heavy_rail","1019-north-south-line",1996
20,248,"heavy_rail","4502-jurong-region-line",2027
248,249,"heavy_rail","4502-jurong-region-line",2027
248,255,"heavy_rail","4502-jurong-region-line",2027
249,253,"heavy_rail","4502-jurong-region-line",2029
255,258,"heavy_rail","4502-jurong-region-line",2029
23,265,"heavy_rail","4502-jurong-region-line",2028
