"nodeID_from","nodeID_to","mode","line","year"
8,9,"heavy_rail","1090-t17",1950
8,9,"heavy_rail","1091-t18",1950
9,13,"heavy_rail","1090-t17",1958
3,4,"heavy_rail","1092-t11",1977
1,3,"heavy_rail","1089-t13",1964
1,8,"heavy_rail","1090-t17",1951
1,8,"heavy_rail","1091-t18",1951
1,3,"heavy_rail","1090-t17",1964
1,3,"heavy_rail","1091-t18",1964
3,50,"heavy_rail","220-blue-line",1975
3,50,"heavy_rail","1092-t11",1975
50,56,"heavy_rail","1092-t11",1975
18,19,"heavy_rail","1089-t13",1967
1,8,"heavy_rail","145-green-line",1951
3,18,"heavy_rail","1089-t13",1965
15,22,"light_rail","1212-27",0
15,22,"light_rail","1213-28",0
15,22,"light_rail","1214-29",0
22,23,"light_rail","1212-27",0
22,23,"light_rail","1213-28",0
22,23,"light_rail","1214-29",0
24,25,"light_rail","1212-27",0
24,25,"light_rail","1213-28",0
23,24,"light_rail","1212-27",0
23,24,"light_rail","1213-28",0
23,24,"light_rail","1214-29",0
1,7,"light_rail","222-premetro-lines",1933
7,8,"light_rail","222-premetro-lines",1946
30,43,"light_rail","222-premetro-lines",1944
13,14,"heavy_rail","145-green-line",1994
48,49,"heavy_rail","145-green-line",1958
46,48,"heavy_rail","145-green-line",1956
50,57,"heavy_rail","220-blue-line",1985
32,35,"heavy_rail","145-green-line",1952
3,18,"heavy_rail","219-red-line",1965
16,18,"heavy_rail","219-red-line",1973
57,60,"heavy_rail","220-blue-line",1975
16,22,"heavy_rail","219-red-line",1975
56,57,"heavy_rail","220-blue-line",1975
1,3,"heavy_rail","219-red-line",1964
22,25,"heavy_rail","219-red-line",1978
3,4,"heavy_rail","220-blue-line",1977
35,36,"heavy_rail","145-green-line",1952
30,36,"light_rail","222-premetro-lines",1934
43,46,"heavy_rail","145-green-line",1952
2,8,"heavy_rail","145-green-line",1951
26,28,"ferry","1636-82",0
30,36,"heavy_rail","1090-t17",1952
30,36,"heavy_rail","1091-t18",1952
30,36,"heavy_rail","145-green-line",1952
32,35,"heavy_rail","1090-t17",1952
32,35,"heavy_rail","1091-t18",1952
35,36,"heavy_rail","1090-t17",1952
35,36,"heavy_rail","1091-t18",1952
3,32,"heavy_rail","1090-t17",1957
3,32,"heavy_rail","1091-t18",1957
3,32,"heavy_rail","145-green-line",1957
1,3,"heavy_rail","145-green-line",1957
31,43,"heavy_rail","145-green-line",1952
30,31,"heavy_rail","145-green-line",1952
30,31,"heavy_rail","1090-t17",1952
