"nodeID_from","nodeID_to","mode","line","year"
61,65,"commuter_rail","853-t1",1887
6,113,"commuter_rail","856-t4",1979
11,17,"commuter_rail","856-t4",1885
7,11,"commuter_rail","856-t4",1886
17,24,"commuter_rail","856-t4",1884
24,26,"commuter_rail","856-t4",0
11,27,"commuter_rail","856-t4",1939
6,82,"commuter_rail","856-t4",1979
35,39,"commuter_rail","854-t2",1926
35,39,"commuter_rail","855-t3",1926
35,39,"commuter_rail","860-t8",1926
39,111,"commuter_rail","853-t1",1926
39,111,"commuter_rail","854-t2",1926
39,111,"commuter_rail","855-t3",1926
39,111,"commuter_rail","860-t8",1926
37,85,"commuter_rail","853-t1",1932
37,85,"commuter_rail","854-t2",1932
37,85,"commuter_rail","855-t3",1932
37,85,"commuter_rail","860-t8",1932
37,39,"commuter_rail","853-t1",1932
37,39,"commuter_rail","854-t2",1932
37,39,"commuter_rail","855-t3",1932
37,39,"commuter_rail","860-t8",1932
1,5,"commuter_rail","856-t4",1979
35,85,"commuter_rail","854-t2",1956
35,85,"commuter_rail","855-t3",1956
35,85,"commuter_rail","860-t8",1956
111,113,"commuter_rail","860-t8",0
26,113,"commuter_rail","856-t4",0
26,113,"commuter_rail","860-t8",0
24,26,"commuter_rail","860-t8",0
111,113,"commuter_rail","855-t3",0
6,24,"commuter_rail","860-t8",2000
5,82,"commuter_rail","856-t4",1979
39,47,"light_rail","861-l1",1997
47,51,"light_rail","861-l1",2000
51,60,"light_rail","861-l1",2014
24,183,"commuter_rail","860-t8",0
183,206,"commuter_rail","860-t8",0
67,137,"commuter_rail","859-t7",1998
173,183,"commuter_rail","854-t2",0
173,183,"commuter_rail","857-t5",0
182,183,"commuter_rail","854-t2",0
182,183,"commuter_rail","857-t5",0
155,175,"commuter_rail","857-t5",0
155,175,"commuter_rail","854-t2",0
173,175,"commuter_rail","854-t2",0
173,175,"commuter_rail","857-t5",0
154,155,"commuter_rail","854-t2",0
156,227,"commuter_rail","857-t5",0
156,227,"commuter_rail","853-t1",0
155,156,"commuter_rail","857-t5",0
155,156,"commuter_rail","854-t2",0
155,156,"commuter_rail","853-t1",0
72,86,"light_rail","864-l2",2019
72,86,"light_rail","1018-l3",2019
68,72,"light_rail","1018-l3",2024
72,73,"light_rail","864-l2",2019
210,218,"commuter_rail","853-t1",0
173,175,"commuter_rail","855-t3",0
93,95,"heavy_rail","862-m1",2019
95,97,"heavy_rail","862-m1",2019
97,101,"heavy_rail","862-m1",2009
26,101,"heavy_rail","862-m1",2024
65,123,"commuter_rail","7145-t9",0
111,123,"commuter_rail","853-t1",0
111,123,"commuter_rail","854-t2",0
111,123,"commuter_rail","855-t3",0
111,123,"commuter_rail","7145-t9",0
67,155,"commuter_rail","853-t1",0
67,155,"commuter_rail","854-t2",0
67,123,"commuter_rail","853-t1",0
67,123,"commuter_rail","854-t2",0
67,123,"commuter_rail","855-t3",0
67,171,"commuter_rail","855-t3",0
171,176,"commuter_rail","855-t3",0
170,176,"commuter_rail","855-t3",0
175,176,"commuter_rail","855-t3",0
170,171,"commuter_rail","858-t6",0
26,168,"commuter_rail","855-t3",2026
168,170,"commuter_rail","858-t6",2024
26,168,"heavy_rail","862-m1",2026
168,170,"commuter_rail","855-t3",0
67,171,"commuter_rail","858-t6",2024
26,113,"commuter_rail","855-t3",0
39,111,"commuter_rail","7145-t9",1926
37,39,"commuter_rail","7145-t9",1932
37,85,"commuter_rail","7145-t9",1932
85,133,"commuter_rail","853-t1",0
85,133,"commuter_rail","7145-t9",0
65,133,"commuter_rail","853-t1",0
135,143,"heavy_rail","863-m2",2032
