"nodeID_from","nodeID_to","mode","line","year"
1964,1968,"light_rail","797-tsukishima-line",1923
2023,2024,"light_rail","822-sunamachi-line",1924
2024,2025,"light_rail","822-sunamachi-line",1927
2026,2027,"light_rail","824-komatsugawa-line",1926
2028,2029,"light_rail","824-komatsugawa-line",1917
2026,2028,"light_rail","824-komatsugawa-line",1917
2041,2042,"light_rail","681-izumibashi-line",1904
2054,2055,"light_rail","830-awajicho-line",1922
2055,2056,"light_rail","830-awajicho-line",1929
1804,2065,"light_rail","831-ueno-line",1903
1916,2110,"light_rail","832-hongo-line",1904
2111,2112,"light_rail","832-hongo-line",1915
2112,2113,"light_rail","832-hongo-line",1915
2178,2185,"light_rail","843-otsuka-line",1910
2178,2179,"light_rail","843-otsuka-line",1911
2181,2184,"light_rail","844-otowa-line",1928
2210,2211,"light_rail","837-senju-line",1908
2211,2212,"light_rail","837-senju-line",1909
2212,2213,"light_rail","837-senju-line",1910
3,2214,"light_rail","837-senju-line",1921
2220,2221,"light_rail","835-minowa-line",1911
2221,2222,"light_rail","835-minowa-line",1912
2229,2246,"light_rail","874-suginami-line",1921
2246,2247,"light_rail","874-suginami-line",1921
2246,2248,"light_rail","874-suginami-line",1956
588,589,"heavy_rail","418-keihin-tohoku-line",1932
154,155,"heavy_rail","329-yurakucho-line",2008
155,156,"heavy_rail","329-yurakucho-line",2008
156,157,"heavy_rail","329-yurakucho-line",2008
157,158,"heavy_rail","329-yurakucho-line",2008
158,159,"heavy_rail","329-yurakucho-line",2008
159,160,"heavy_rail","329-yurakucho-line",2008
160,161,"heavy_rail","329-yurakucho-line",2008
2249,2250,"light_rail","866-komagome-line",1917
2250,2251,"light_rail","866-komagome-line",1917
2255,2261,"light_rail","876-asukayama-line",1923
739,755,"heavy_rail","444-toyoko-line",1927
740,755,"heavy_rail","444-toyoko-line",1927
739,755,"heavy_rail","441-meguro-line",1927
738,751,"heavy_rail","444-toyoko-line",1926
751,753,"heavy_rail","444-toyoko-line",1926
739,753,"heavy_rail","444-toyoko-line",1926
463,464,"heavy_rail","444-toyoko-line",2000
464,465,"heavy_rail","444-toyoko-line",2000
465,466,"heavy_rail","444-toyoko-line",2008
2283,2287,"light_rail","870-kita-senju-line",1928
1822,1970,"light_rail","798-susaki-line",1904
2042,2043,"light_rail","681-izumibashi-line",1910
2043,2044,"light_rail","681-izumibashi-line",1910
2044,2045,"light_rail","681-izumibashi-line",1910
2041,2046,"light_rail","681-izumibashi-line",1923
2066,2071,"light_rail","823-kasaibashi-line",1944
2110,2111,"light_rail","832-hongo-line",1913
1916,2115,"light_rail","832-hongo-line",1904
2133,2135,"people_mover","839-yukarigaoka-line",1982
2135,2137,"people_mover","839-yukarigaoka-line",1983
1221,1223,"heavy_rail","427-narita-sky-access",2010
1221,1223,"heavy_rail","426-keisei-main-line",2010
2139,2140,"light_rail","833-kiriodoshi-line",1904
2139,2141,"light_rail","833-kiriodoshi-line",1908
2145,2148,"light_rail","840-hakusan-line",1909
2148,2150,"light_rail","840-hakusan-line",1910
2160,2162,"light_rail","841-mukojima-line",1931
2160,2161,"light_rail","841-mukojima-line",1950
2166,2173,"light_rail","836-senzoku-line",1921
2219,2220,"light_rail","835-minowa-line",1908
2251,2252,"light_rail","866-komagome-line",1922
2252,2253,"light_rail","866-komagome-line",1923
2262,2263,"light_rail","869-sugamo-line",1911
2263,2264,"light_rail","869-sugamo-line",1912
466,467,"heavy_rail","444-toyoko-line",2008
2288,2296,"heavy_rail","628-kurihama-line",1942
2288,2289,"heavy_rail","628-kurihama-line",1963
2289,2290,"heavy_rail","628-kurihama-line",1966
2290,2291,"heavy_rail","628-kurihama-line",1975
2649,2733,"light_rail","1042-sugita-line",1925
2733,2741,"light_rail","1042-sugita-line",1925
1972,1981,"heavy_rail","447-tokyu-setagaya-line",1923
1991,2000,"light_rail","811-sarue-line",1930
2072,2077,"light_rail","827-kuramae-line",1904
2077,2078,"light_rail","827-kuramae-line",1904
2120,2132,"light_rail","838-omiya-line",1906
2135,2137,"people_mover","839-yukarigaoka-line",1982
1220,1224,"heavy_rail","427-narita-sky-access",2010
1220,1224,"heavy_rail","499-hokuso-line",2010
2151,2157,"light_rail","828-azumabashi-line",1904
2157,2158,"light_rail","828-azumabashi-line",1908
2158,2159,"light_rail","828-azumabashi-line",1920
2174,2177,"light_rail","842-tomisaka-line",1908
2175,2185,"light_rail","842-tomisaka-line",1909
2179,2180,"light_rail","843-otsuka-line",1913
2270,2275,"light_rail","871-itabashi-line",1929
2311,2318,"people_mover","879-line-2",1988
2741,2742,"light_rail","1042-sugita-line",1927
1223,1224,"heavy_rail","427-narita-sky-access",2010
1970,1982,"light_rail","798-susaki-line",1911
