"nodeID_from","nodeID_to","mode","line","year"
9,10,"heavy_rail","2442-line-1",1948
10,142,"heavy_rail","2442-line-1",1949
18,142,"heavy_rail","2442-line-1",1956
18,24,"heavy_rail","2442-line-1",1957
29,34,"heavy_rail","2443-line-2",2000
34,35,"heavy_rail","2443-line-2",2004
29,36,"heavy_rail","2443-line-2",2004
36,38,"heavy_rail","2443-line-2",2013
35,42,"heavy_rail","2443-line-2",2013
25,47,"heavy_rail","2444-line-3",2000
8,25,"heavy_rail","2444-line-3",2003
8,57,"heavy_rail","2444-line-3",2007
57,59,"heavy_rail","2444-line-3",2007
59,60,"heavy_rail","2444-line-3",2013
60,63,"heavy_rail","2444-line-3",2020
63,65,"heavy_rail","2444-line-3",2022
38,246,"heavy_rail","2443-line-2",
207,209,"inter_city_rail","3243-ose---hellenic-train",1971
207,209,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1884
209,211,"commuter_rail","7178-προαστιακος-δυτικής-αττικής",2027
112,113,"light_rail","2809-line-3",2007
112,113,"light_rail","2814-line-5",2007
127,141,"heavy_rail","3231-line-4",999999
3,124,"commuter_rail","3235-athens---pireaus-railway",1869
1,124,"heavy_rail","2442-line-1",1904
1,124,"commuter_rail","3235-athens---pireaus-railway",1869
2,3,"heavy_rail","2442-line-1",1904
2,3,"commuter_rail","3235-athens---pireaus-railway",1870
142,148,"commuter_rail","3241-attica-railways",1885
142,149,"commuter_rail","3241-attica-railways",1889
148,151,"commuter_rail","3241-attica-railways",1901
2,124,"commuter_rail","3235-athens---pireaus-railway",1883
49,50,"heavy_rail","2444-line-3",2004
47,49,"heavy_rail","2444-line-3",2004
191,200,"commuter_rail","3244-suburban-railway-athens",2020
201,205,"inter_city_rail","3243-ose---hellenic-train",1971
201,205,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1884
205,207,"inter_city_rail","3243-ose---hellenic-train",1971
205,207,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1884
146,216,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1931
207,216,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1931
2,124,"heavy_rail","2442-line-1",1904
146,231,"commuter_rail","3241-attica-railways",1885
146,231,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1929
231,235,"commuter_rail","3241-attica-railways",1884
231,235,"inter_city_rail","3246-pireaus---athens---peloponnese-railways",1929
152,239,"inter_city_rail","3245-pireaus---demerli---borders-railway",1904
152,239,"inter_city_rail","3243-ose---hellenic-train",1971
152,156,"inter_city_rail","3245-pireaus---demerli---borders-railway",1904
165,170,"inter_city_rail","3245-pireaus---demerli---borders-railway",1904
156,165,"inter_city_rail","3245-pireaus---demerli---borders-railway",1904
66,82,"light_rail","2813-line-4",2004
66,82,"light_rail","2814-line-5",2004
66,82,"light_rail","3504-line-6",2021
82,95,"light_rail","2814-line-5",2004
82,95,"light_rail","2809-line-3",2004
82,95,"light_rail","3505-line-7",2021
82,95,"light_rail","3504-line-6",2021
95,112,"light_rail","2814-line-5",2004
95,112,"light_rail","2809-line-3",2004
95,112,"light_rail","3505-line-7",2021
83,114,"light_rail","2813-line-4",2004
83,114,"light_rail","2809-line-3",2004
82,114,"light_rail","2813-line-4",2004
82,114,"light_rail","2809-line-3",2004
82,114,"light_rail","3505-line-7",2021
84,121,"light_rail","3505-line-7",2021
120,121,"light_rail","3505-line-7",999999
114,121,"light_rail","3505-line-7",2021
112,113,"light_rail","3505-line-7",2021
86,92,"tram","3560-steam-tram",1887
84,86,"tram","3560-steam-tram",1887
84,86,"tram","3561-line-1",1909
86,92,"tram","3561-line-1",1909
92,94,"tram","3561-line-1",1928
4,86,"tram","3560-steam-tram",1887
4,86,"tram","3561-line-1",1909
4,70,"tram","3560-steam-tram",1887
4,70,"tram","3561-line-1",1909
9,28,"tram","3563-line-5",1904
9,28,"tram","3564-line-5",1908
30,66,"tram","3560-steam-tram",1887
30,66,"tram","3561-line-1",1909
25,66,"tram","3560-steam-tram",1887
25,66,"tram","3561-line-1",1909
130,150,"tram","3576-line-2-(new)",1930
9,150,"tram","3576-line-2-(new)",1930
130,150,"tram","3577-line-3-12",1932
9,150,"tram","3577-line-3-12",1932
25,66,"tram","3577-line-3-12",1932
25,66,"tram","3575-line-12",1909
30,66,"tram","3573-omonoia---pagkrati",1896
30,66,"tram","3575-line-12",1909
30,67,"tram","3573-omonoia---pagkrati",1896
30,67,"tram","3575-line-12",1909
67,137,"tram","3575-line-12",1909
9,28,"tram","3565-line-5-12",1932
9,150,"tram","3562-line-1-3",1935
130,150,"tram","3562-line-1-3",1935
13,130,"tram","3562-line-1-3",1935
13,15,"tram","3562-line-1-3",1935
25,66,"tram","3562-line-1-3",1935
30,66,"tram","3562-line-1-3",1935
4,70,"tram","3562-line-1-3",1935
30,66,"tram","3577-line-3-12",1932
30,67,"tram","3577-line-3-12",1932
67,137,"tram","3577-line-3-12",1932
25,66,"tram","3573-omonoia---pagkrati",1908
9,150,"tram","3580-omonoia---patissia",1882
130,150,"tram","3580-omonoia---patissia",1882
13,130,"tram","3580-omonoia---patissia",1882
13,15,"tram","3580-omonoia---patissia",1882
25,44,"tram","3581-omonoia---ambelokipoi",1882
25,44,"tram","3583-line-7",1909
25,44,"tram","3584-line-4-7",1932
25,66,"tram","3565-line-5-12",1932
25,66,"tram","3579-line-2-12",1943
30,66,"tram","3565-line-5-12",1932
30,66,"tram","3579-line-2-12",1943
30,67,"tram","3565-line-5-12",1932
30,67,"tram","3579-line-2-12",1943
67,137,"tram","3565-line-5-12",1932
67,137,"tram","3579-line-2-12",1943
9,150,"tram","3578-line-2-7",1935
9,150,"tram","3579-line-2-12",1943
130,150,"tram","3578-line-2-7",1935
130,150,"tram","3579-line-2-12",1943
25,44,"tram","3578-line-2-7",1935
13,15,"tram","3585-line-3-7",1940
13,130,"tram","3585-line-3-7",1940
25,44,"tram","3585-line-3-7",1940
9,150,"tram","3585-line-3-7",1940
130,150,"tram","3585-line-3-7",1940
9,150,"tram","3582-line-3",1908
130,150,"tram","3582-line-3",1908
13,130,"tram","3582-line-3",1908
13,15,"tram","3582-line-3",1908
10,142,"tram","3606-line-6",1909
13,142,"tram","3606-line-6",1928
9,149,"tram","3605-omonoia---archanon",1900
9,149,"tram","3606-line-6",1909
25,134,"tram","3578-line-2-7",1935
25,134,"tram","3583-line-7",1909
25,134,"tram","3584-line-4-7",1932
25,134,"tram","3585-line-3-7",1940
25,134,"tram","3620-ippokratous---mitropoleos",1895
9,25,"tram","3573-omonoia---pagkrati",1883
9,25,"tram","3574-line-2-(old)",1908
133,134,"tram","3620-ippokratous---mitropoleos",1895
25,66,"tram","3573-omonoia---pagkrati",1883
25,66,"tram","3620-ippokratous---mitropoleos",1895
26,134,"tram","3614-omonoia---ippokratous",1895
133,134,"tram","3614-omonoia---ippokratous",1895
25,66,"tram","3574-line-2-(old)",1908
9,26,"tram","3562-line-1-3",1935
9,26,"tram","3565-line-5-12",1932
9,26,"tram","3577-line-3-12",1932
9,26,"tram","3578-line-2-7",1935
9,26,"tram","3579-line-2-12",1943
132,133,"tram","3621-line-10",1908
132,133,"tram","3622-line-11",1909
133,134,"tram","3621-line-10",1908
133,134,"tram","3622-line-11",1909
25,66,"tram","3621-line-10",1908
25,134,"tram","3621-line-10",1908
9,26,"tram","3581-omonoia---ambelokipoi",1882
9,26,"tram","3583-line-7",1909
9,26,"tram","3584-line-4-7",1932
9,26,"tram","3585-line-3-7",1940
9,26,"tram","3614-omonoia---ippokratous",1895
27,29,"tram","3613-omonoia---kolokinthous",1890
26,134,"tram","3622-line-11",1909
26,27,"tram","3622-line-11",1909
26,27,"tram","3622-line-11",1909
27,29,"tram","3622-line-11",1909
26,132,"tram","3624-line-14",1909
132,150,"tram","3623-line-13",1909
8,66,"tram","3606-line-6",1935
8,66,"tram","3620-ippokratous---mitropoleos",1895
8,66,"tram","3621-line-10",1908
57,243,"tram","3621-line-10",1908
9,27,"tram","3613-omonoia---kolokinthous",1890
9,27,"tram","3621-line-10",1943
8,66,"tram","3625-line-15",1908
25,66,"tram","3625-line-15",1908
25,136,"tram","3625-line-15",1908
26,134,"tram","3621-line-10",1925
25,26,"tram","3560-steam-tram",1887
25,26,"tram","3561-line-1",1909
25,26,"tram","3562-line-1-3",1935
25,26,"tram","3565-line-5-12",1932
25,26,"tram","3575-line-12",1915
25,26,"tram","3577-line-3-12",1932
25,26,"tram","3579-line-2-12",1943
25,26,"tram","3581-omonoia---ambelokipoi",1882
25,26,"tram","3621-line-10",1925
26,134,"tram","3578-line-2-7",1935
26,134,"tram","3583-line-7",1909
26,134,"tram","3584-line-4-7",1932
26,134,"tram","3585-line-3-7",1940
26,134,"tram","3621-line-10",1925
30,70,"tram","3560-steam-tram",1887
30,70,"tram","3561-line-1",1909
30,70,"tram","3562-line-1-3",1935
30,66,"tram","3667-line-16",1909
25,66,"tram","3667-line-16",1909
25,134,"tram","3667-line-16",1909
25,66,"tram","3667-line-16",1925
25,26,"tram","3667-line-16",1925
26,134,"tram","3667-line-16",1925
26,134,"tram","3667-line-16",1925
133,134,"tram","3667-line-16",1909
132,133,"tram","3667-line-16",1909
44,132,"tram","3623-line-13",1909
44,132,"tram","3667-line-16",1937
44,132,"tram","3624-line-14",1915
9,27,"tram","3668-omonoia---rouf",1890
27,243,"tram","3668-omonoia---rouf",1890
27,243,"tram","3621-line-10",1943
172,243,"tram","3668-omonoia---rouf",1890
9,27,"tram","3669-line-4",1909
27,243,"tram","3669-line-4",1909
172,243,"tram","3669-line-4",1909
9,27,"tram","3670-line-4-(1)",1935
9,27,"tram","3584-line-4-7",1932
27,243,"tram","3670-line-4-(1)",1935
27,243,"tram","3584-line-4-7",1932
172,243,"tram","3670-line-4-(1)",1935
172,243,"tram","3584-line-4-7",1932
10,149,"tram","3605-omonoia---archanon",1900
10,149,"tram","3606-line-6",1909
9,149,"tram","3704-line-8",1909
9,149,"tram","3707-line-8-9",1932
8,243,"tram","3705-line-9",1908
8,243,"tram","3706-line-9-(1)",1953
8,243,"tram","3707-line-8-9",1932
7,243,"tram","3706-line-9-(1)",1953
7,243,"tram","3707-line-8-9",1932
7,30,"tram","3667-line-16",1909
7,57,"tram","3705-line-9",1908
7,57,"tram","3706-line-9-(1)",1953
7,57,"tram","3707-line-8-9",1932
8,9,"tram","3606-line-6",1935
8,9,"tram","3705-line-9",1908
8,9,"tram","3706-line-9-(1)",1953
8,9,"tram","3707-line-8-9",1932
7,243,"tram","3667-line-16",1909
8,243,"tram","3621-line-10",1908
7,243,"tram","3705-line-9",1908
8,9,"tram","3709-omonoia---petralona",1895
8,243,"tram","3709-omonoia---petralona",1895
7,243,"tram","3709-omonoia---petralona",1895
7,57,"tram","3709-omonoia---petralona",1895
9,149,"tram","3708-omonoia---sepolia",1900
120,123,"tram","3757-line-18",1909
122,123,"tram","3757-line-18",1909
123,125,"tram","3754-agiou-vasileiou---neo-faliro",1895
123,125,"tram","3755-agiou-vasileiou---neo-faliro",1890
123,125,"tram","3756-line-17",1908
123,125,"tram","3757-line-18",1909
125,126,"tram","3754-agiou-vasileiou---neo-faliro",1895
125,126,"tram","3755-agiou-vasileiou---neo-faliro",1890
65,123,"tram","3754-agiou-vasileiou---neo-faliro",1895
65,123,"tram","3755-agiou-vasileiou---neo-faliro",1890
65,118,"tram","3759-line-20",1909
118,125,"tram","3759-line-20",1909
1,64,"tram","3760-line-21",1909
1,121,"tram","3760-line-21",1909
7,242,"heavy_rail","2442-line-1",1904
7,242,"commuter_rail","3235-athens---pireaus-railway",1895
9,242,"heavy_rail","2442-line-1",1930
7,243,"commuter_rail","3235-athens---pireaus-railway",1869
3,7,"heavy_rail","2442-line-1",1904
3,7,"commuter_rail","3235-athens---pireaus-railway",1869
11,149,"tram","3708-omonoia---sepolia",1900
11,149,"tram","3704-line-8",1909
11,149,"tram","3707-line-8-9",1932
11,149,"tram","4388-γραμμή-κ",1926
9,149,"tram","4388-γραμμή-κ",1926
120,239,"tram","4390-παραλιακή-πειραιά",1915
125,126,"tram","3756-line-17",1908
125,126,"tram","3757-line-18",1909
125,126,"tram","3759-line-20",1909
65,123,"tram","3756-line-17",1908
1,121,"tram","3758-line-19",1909
1,121,"tram","3759-line-20",1909
65,121,"tram","3759-line-20",1909
118,122,"tram","3758-line-19",1909
121,122,"tram","3758-line-19",1909
121,122,"tram","3760-line-21",1909
122,201,"tram","3760-line-21",1909
64,201,"tram","3760-line-21",1909
64,201,"tram","4391-γραμμή-18-(1938---1959)",1938
1,64,"tram","4391-γραμμή-18-(1938---1959)",1938
1,121,"tram","4391-γραμμή-18-(1938---1959)",1938
65,121,"tram","4391-γραμμή-18-(1938---1959)",1938
1,201,"tram","4389-πειραιάς-(σ-α-π-)---τελωνείο-αγίου-νικολάου",1885
201,239,"tram","4390-παραλιακή-πειραιά",1910
201,239,"tram","4416-τραμ-περάματος",1936
1,201,"tram","4390-παραλιακή-πειραιά",1910
1,201,"tram","4416-τραμ-περάματος",1936
1,120,"tram","4389-πειραιάς-(σ-α-π-)---τελωνείο-αγίου-νικολάου",1883
1,120,"tram","4390-παραλιακή-πειραιά",1910
49,156,"commuter_rail","7180-a2---άνω-λόσια---αεροδρόμιο",2004
49,156,"commuter_rail","7179-α1---πειραιας-αεροδρομιο",2004
49,50,"commuter_rail","7180-a2---άνω-λόσια---αεροδρόμιο",2004
49,50,"commuter_rail","7179-α1---πειραιας-αεροδρομιο",2004
156,182,"commuter_rail","7180-a2---άνω-λόσια---αεροδρόμιο",2005
152,171,"commuter_rail","7182-α4---πειραιάς-κίατο",2007
152,171,"commuter_rail","7179-α1---πειραιας-αεροδρομιο",2007
152,156,"commuter_rail","7181-α3---αθήνα---χαλκίδα",2009
156,182,"commuter_rail","7182-α4---πειραιάς-κίατο",2005
165,170,"commuter_rail","7181-α3---αθήνα---χαλκίδα",1904
182,189,"commuter_rail","7182-α4---πειραιάς-κίατο",2005
189,191,"commuter_rail","7182-α4---πειραιάς-κίατο",2007
211,213,"commuter_rail","7178-προαστιακος-δυτικής-αττικής",2027
152,156,"commuter_rail","7182-α4---πειραιάς-κίατο",2004
152,156,"commuter_rail","7179-α1---πειραιας-αεροδρομιο",2004
152,156,"inter_city_rail","3243-ose---hellenic-train",1971
156,165,"commuter_rail","7181-α3---αθήνα---χαλκίδα",2009
156,165,"inter_city_rail","3243-ose---hellenic-train",1971
250,252,"commuter_rail","7182-α4---πειραιάς-κίατο",2026
