"nodeID_from","nodeID_to","mode","line","year"
38,39,"people_mover","1276-baron",1906
22,23,"people_mover","1277-artilleria",1892
24,25,"people_mover","1278-cordillera",1894
26,27,"people_mover","1347-el-peral",1901
28,29,"people_mover","1346-concepcion",1883
30,31,"people_mover","1348-reina-victoria",1903
32,33,"people_mover","1349-mariposas",1906
36,37,"people_mover","1351-lecheros",1908
40,41,"people_mover","1352-espiritu-santo",1911
42,43,"people_mover","1353-monjas",1912
44,45,"people_mover","1354-villaseca",1913
46,47,"people_mover","1355-san-agustin",1913
34,35,"people_mover","1350-florida",1907
48,49,"people_mover","1456-larrain",1906
50,51,"people_mover","1457-bellavista",1899
52,53,"people_mover","1458-panteon",1901
54,55,"people_mover","1470-las-canas",1925
56,57,"people_mover","1462-la-cruz",1907
58,59,"people_mover","1469-perdices",1931
60,61,"people_mover","1463-santo-domingo",1910
62,63,"people_mover","1461-arrayan",1907
6,38,"people_mover","1459-ferroviario",1902
64,65,"people_mover","1468-delicias",1925
66,67,"people_mover","1464-placeres",1913
68,69,"people_mover","1466-ramaditas",1914
70,71,"people_mover","1460-esmeralda",1905
72,73,"people_mover","1467-polanco",1911
34,73,"tram","2613-4-colon",1948
5,39,"bus","2551-chorrillos",1960
5,39,"bus","2550-vina-del-mar",1959
5,39,"tram","2610-1-brasil",1904
4,74,"commuter_rail","2549-merval-(1987-2005)",1987
5,39,"bus","2550-vina-del-mar",1959
5,39,"bus","2551-chorrillos",1960
40,71,"bus","2553-pedro-montt",1953
40,71,"bus","2552-colon",1953
11,12,"bus","2550-vina-del-mar",1959
1,13,"heavy_rail","1203-metro",2005
2,11,"heavy_rail","1203-metro",2005
2,11,"commuter_rail","2549-merval-(1987-2005)",1987
1,13,"commuter_rail","2549-merval-(1987-2005)",1987
13,20,"heavy_rail","1203-metro",2005
13,20,"commuter_rail","2549-merval-(1987-2005)",1987
20,21,"commuter_rail","2549-merval-(1987-2005)",1987
20,21,"heavy_rail","1203-metro",2005
3,40,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
3,40,"bus","2553-pedro-montt",1953
3,48,"bus","2553-pedro-montt",1953
52,71,"bus","2550-vina-del-mar",1959
52,71,"bus","2551-chorrillos",1960
52,71,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
39,48,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
40,52,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
40,73,"bus","2552-colon",1953
3,73,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
48,73,"bus","2552-colon",1953
48,73,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
3,40,"tram","2611-2-pedro-montt",1907
28,71,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
28,71,"bus","2553-pedro-montt",1953
3,48,"tram","2611-2-pedro-montt",1907
38,67,"tram","2621-12",1909
8,39,"bus","2550-vina-del-mar",1959
8,39,"bus","2551-chorrillos",1960
34,40,"tram","2613-4-colon",1907
7,8,"bus","2550-vina-del-mar",1959
7,8,"bus","2551-chorrillos",1960
7,8,"tram","2619-10",1906
6,11,"commuter_rail","2607-trenes-locales",1855
6,11,"heavy_rail","1203-metro",2005
6,11,"commuter_rail","2549-merval-(1987-2005)",1987
2,11,"commuter_rail","2607-trenes-locales",1855
52,71,"tram","2610-1-brasil",1904
34,73,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
22,28,"bus","2553-pedro-montt",1953
22,28,"tram","2606-ferrocarril-urbano-de-valparaiso",1863
22,28,"tram","2611-2-pedro-montt",1907
22,28,"tram","2613-4-colon",1907
28,71,"tram","2611-2-pedro-montt",1907
28,71,"tram","2613-4-colon",1907
40,71,"tram","2612-3-victoria-independencia",1904
40,71,"tram","2613-4-colon",1907
