"nodeID_from","nodeID_to","mode","line","year"
7,11,"heavy_rail","2123-blue-line",1979
11,13,"heavy_rail","2123-blue-line",1979
7,11,"heavy_rail","2124-green-line",1979
11,14,"heavy_rail","2124-green-line",1992
4,7,"heavy_rail","2123-blue-line",1979
1,4,"heavy_rail","2123-blue-line",1979
4,7,"heavy_rail","2124-green-line",1979
1,15,"heavy_rail","2123-blue-line",1993
17,20,"heavy_rail","2125-gold-line",1981
17,20,"heavy_rail","2126-red-line",1981
20,22,"heavy_rail","2125-gold-line",1982
20,22,"heavy_rail","2126-red-line",1982
17,23,"heavy_rail","2125-gold-line",1982
17,23,"heavy_rail","2126-red-line",1982
23,24,"heavy_rail","2125-gold-line",1984
23,24,"heavy_rail","2126-red-line",1984
22,26,"heavy_rail","2125-gold-line",1984
22,26,"heavy_rail","2126-red-line",1984
24,27,"heavy_rail","2125-gold-line",1986
24,27,"heavy_rail","2126-red-line",1986
27,28,"heavy_rail","2125-gold-line",1988
27,28,"heavy_rail","2126-red-line",1988
26,30,"heavy_rail","2125-gold-line",1984
30,32,"heavy_rail","2125-gold-line",1987
32,33,"heavy_rail","2125-gold-line",1992
36,38,"heavy_rail","2126-red-line",2000
