"nodeID_from","nodeID_to","mode","line","year"
1,17,"heavy_rail","2136-sukhumvit-line",1999
18,23,"heavy_rail","2135-silom-line",1999
23,25,"heavy_rail","2135-silom-line",2009
17,30,"heavy_rail","2136-sukhumvit-line",2011
25,34,"heavy_rail","2135-silom-line",2013
30,35,"heavy_rail","2136-sukhumvit-line",2017
35,43,"heavy_rail","2136-sukhumvit-line",2018
1,48,"heavy_rail","2136-sukhumvit-line",2019
48,59,"heavy_rail","2136-sukhumvit-line",2020
60,77,"heavy_rail","2137-blue-line",2004
93,94,"heavy_rail","2138-purple-line",2016
60,94,"heavy_rail","2137-blue-line",2017
77,105,"heavy_rail","2137-blue-line",2019
94,99,"heavy_rail","2137-blue-line",2020
6,114,"commuter_rail","2134-airport-rail-link-line",2010
123,134,"brt","2165-sathon---ratchaphruek",2010
60,143,"commuter_rail","2213-dark-red-line",2022
161,183,"people_mover","2217-yellow-line",2022
184,213,"people_mover","2216-pink-line",2022
216,218,"people_mover","3230-gold-line",2020
60,222,"commuter_rail","2214-light-red-line",2022
