"nodeID_from","nodeID_to","mode","line","year"
29,40,"light_rail","2480-blue-line",1920
11,17,"heavy_rail","2479-red-line",1955
11,29,"light_rail","2480-blue-line",1920
11,29,"light_rail","2481-green-line",1920
11,18,"heavy_rail","2479-red-line",1920
11,18,"light_rail","2480-blue-line",1920
11,18,"light_rail","2481-green-line",1920
18,20,"heavy_rail","2479-red-line",1920
18,20,"light_rail","4628-waterfront-line",1920
1,5,"heavy_rail","2479-red-line",1968
7,20,"heavy_rail","2479-red-line",1955
5,7,"heavy_rail","2479-red-line",1958
46,47,"light_rail","2481-green-line",1915
41,46,"light_rail","2481-green-line",1913
29,41,"light_rail","2481-green-line",1920
48,51,"light_rail","2481-green-line",1936
47,48,"light_rail","2481-green-line",1928
