"nodeID_from","nodeID_to","mode","line","year"
1,45,"heavy_rail","85-l3",1975
1,49,"heavy_rail","85-l3",0
70,235,"heavy_rail","87-l5",1969
120,432,"inter_city_rail","3026-r3",1879
104,328,"commuter_rail","2999-r8",2011
9,104,"inter_city_rail","3028-r2",1854
9,104,"inter_city_rail","3029-r2-nord",1854
6,11,"heavy_rail","84-l2",1997
11,132,"heavy_rail","84-l2",2002
132,133,"heavy_rail","84-l2",2010
14,16,"heavy_rail","83-l1",1987
359,369,"commuter_rail","3269-r12",1860
16,18,"heavy_rail","83-l1",1987
19,20,"heavy_rail","83-l1",1932
18,19,"heavy_rail","83-l1",1983
13,14,"heavy_rail","83-l1",1989
101,113,"commuter_rail","112-altres-fc.",1875
101,112,"commuter_rail","112-altres-fc.",1861
143,238,"heavy_rail","91-l9",2009
70,229,"heavy_rail","87-l5",1970
63,229,"heavy_rail","87-l5",1970
63,229,"heavy_rail","2452-linea-ii",1959
63,64,"heavy_rail","87-l5",1970
63,64,"heavy_rail","2452-linea-ii",1967
57,146,"heavy_rail","87-l5",2010
145,146,"heavy_rail","87-l5",2010
64,145,"heavy_rail","87-l5",2010
148,235,"heavy_rail","87-l5",1973
148,149,"heavy_rail","87-l5",1976
151,152,"heavy_rail","87-l5",1983
150,151,"heavy_rail","87-l5",1976
152,153,"heavy_rail","87-l5",1983
149,150,"heavy_rail","87-l5",1976
177,188,"heavy_rail","86-l4",1982
136,177,"heavy_rail","86-l4",1999
182,189,"heavy_rail","86-l4",1977
182,186,"heavy_rail","86-l4",1977
187,193,"heavy_rail","86-l4",1982
186,187,"heavy_rail","86-l4",1977
189,197,"heavy_rail","86-l4",1976
141,188,"heavy_rail","86-l4",1982
60,141,"heavy_rail","2453-linea-iii",1926
60,141,"heavy_rail","86-l4",1974
60,197,"heavy_rail","86-l4",1974
60,197,"heavy_rail","2453-linea-iii",1934
49,50,"heavy_rail","85-l3",1925
50,54,"heavy_rail","85-l3",1924
54,58,"heavy_rail","85-l3",0
131,238,"heavy_rail","92-l10",2010
136,263,"heavy_rail","93-l11",2003
247,250,"heavy_rail","92-l10",2021
212,222,"heavy_rail","90-l8",2001
182,305,"commuter_rail","112-altres-fc.",1848
294,309,"light_rail","983-t5",2004
306,309,"light_rail","984-t6",2004
255,273,"light_rail","981-t3",2004
255,273,"light_rail","979-t1",2004
255,273,"light_rail","980-t2",2004
169,284,"light_rail","981-t3",2024
273,287,"light_rail","981-t3",2006
273,279,"light_rail","979-t1",2004
273,279,"light_rail","980-t2",2004
279,282,"light_rail","980-t2",2004
294,309,"light_rail","984-t6",2004
131,309,"light_rail","983-t5",2004
193,229,"heavy_rail","86-l4",2029
229,238,"heavy_rail","91-l9",2009
229,238,"heavy_rail","92-l10",2009
39,298,"heavy_rail","83-l1",0
39,80,"heavy_rail","83-l1",2028
58,136,"heavy_rail","85-l3",0
36,136,"heavy_rail","85-l3",
40,45,"heavy_rail","85-l3",1975
40,168,"heavy_rail","85-l3",2027
1,6,"heavy_rail","84-l2",1995
250,251,"heavy_rail","92-l10",2030
40,235,"heavy_rail","92-l10",2028
199,222,"heavy_rail","90-l8",2028
12,162,"heavy_rail","83-l1",
12,13,"heavy_rail","83-l1",1989
294,306,"light_rail","982-t4",2004
294,295,"light_rail","983-t5",2004
294,295,"light_rail","984-t6",2004
204,205,"heavy_rail","94-l12",2001
168,176,"heavy_rail","85-l3",2027
194,292,"inter_city_rail","3027-r2-sud",1854
165,397,"inter_city_rail","3027-r2-sud",1881
165,397,"inter_city_rail","3028-r2",1881
142,394,"inter_city_rail","3029-r2-nord",1975
78,305,"inter_city_rail","3024-r1",1848
78,93,"inter_city_rail","3024-r1",1861
397,401,"inter_city_rail","3027-r2-sud",1881
392,401,"inter_city_rail","3027-r2-sud",1881
102,113,"inter_city_rail","3029-r2-nord",1958
93,113,"inter_city_rail","3029-r2-nord",1861
370,383,"commuter_rail","2998-r4",1856
328,383,"commuter_rail","2998-r4",1859
