"nodeID_from","nodeID_to","mode","line","year"
24,32,"light_rail","888-red-line",1996
24,32,"light_rail","889-blue-line",1996
24,32,"light_rail","890-green-line",1996
24,32,"light_rail","964-orange-line",1996
23,24,"light_rail","890-green-line",2009
23,24,"light_rail","964-orange-line",2009
25,30,"light_rail","964-orange-line",2012
3,4,"commuter_rail","3835-a-train",2011
9,29,"commuter_rail","3834-texrail",2019
7,29,"commuter_rail","3834-texrail",2019
8,9,"commuter_rail","3834-texrail",2019
14,15,"commuter_rail","3833-trinity-railway-express",2001
14,15,"commuter_rail","3834-texrail",2019
23,24,"commuter_rail","3833-trinity-railway-express",1996
25,26,"light_rail","964-orange-line",2012
26,27,"light_rail","964-orange-line",2012
27,28,"light_rail","964-orange-line",2012
14,32,"inter_city_rail","4689-fort-worth-dallas",1902
33,34,"inter_city_rail","4693-denison-and-sherman",1908
