"nodeID_from","nodeID_to","mode","line","year"
1,6,"light_rail","2255-d-line",2000
1,6,"light_rail","2256-c-line",2000
16,17,"light_rail","2260-l-line",1994
11,58,"light_rail","2255-d-line",1994
11,58,"light_rail","2258-f-line",1994
11,58,"light_rail","2259-h-line",1994
10,11,"light_rail","2255-d-line",1994
10,11,"light_rail","2258-f-line",1994
10,11,"light_rail","2259-h-line",1994
16,18,"light_rail","2260-l-line",1994
1,29,"light_rail","2258-f-line",2006
1,29,"light_rail","2257-e-line",2006
1,29,"light_rail","2259-h-line",2006
30,34,"light_rail","2261-r-line",2006
30,34,"light_rail","2259-h-line",2006
34,36,"light_rail","2261-r-line",2017
36,42,"light_rail","2261-r-line",2017
34,36,"light_rail","2259-h-line",2017
48,49,"commuter_rail","2262-university-of-colorado-a-line",2016
49,51,"commuter_rail","2263-b-line",2016
50,51,"commuter_rail","2263-b-line",2016
49,51,"commuter_rail","2264-g-line",2016
51,53,"commuter_rail","2264-g-line",2019
58,61,"light_rail","2257-e-line",2002
58,61,"light_rail","2256-c-line",2002
58,61,"light_rail","2265-w-line",2002
58,72,"light_rail","2265-w-line",2013
22,30,"light_rail","2261-r-line",2006
22,30,"light_rail","2258-f-line",2006
22,30,"light_rail","2257-e-line",2006
22,75,"light_rail","2261-r-line",2019
22,75,"light_rail","2258-f-line",2019
22,75,"light_rail","2257-e-line",2019
49,81,"commuter_rail","2268-n-line",2020
1,8,"light_rail","2255-d-line",2000
1,8,"light_rail","2257-e-line",2000
1,8,"light_rail","2258-f-line",2000
1,8,"light_rail","2259-h-line",2000
1,8,"light_rail","2256-c-line",2000
8,82,"light_rail","4363-j-line",2025
8,58,"light_rail","4363-j-line",2000
8,58,"light_rail","2255-d-line",2000
8,58,"light_rail","2257-e-line",2000
8,58,"light_rail","2258-f-line",2000
8,58,"light_rail","2259-h-line",2000
8,58,"light_rail","2256-c-line",2000
58,61,"light_rail","4363-j-line",2002
