"nodeID_from","nodeID_to","mode","line","year"
372,541,"heavy_rail","3069-line-17",2023
292,340,"heavy_rail","179-line-8",2012
336,340,"heavy_rail","179-line-8",2008
300,420,"heavy_rail","174-line-2",1987
276,284,"heavy_rail","173-batong",1999
296,481,"heavy_rail","186-airport-line",999999
141,355,"brt","193-brt-1",2005
141,346,"brt","193-brt-1",2005
551,554,"commuter_rail","3078-line-s6",2020
114,359,"heavy_rail","181-line-10",2012
296,426,"heavy_rail","186-airport-line",2008
92,253,"heavy_rail","177-line-6",2014
112,114,"heavy_rail","181-line-10",2008
2,11,"heavy_rail","173-batong",1971
35,46,"heavy_rail","199-daxing-line",2010
156,167,"heavy_rail","183-line-15",2014
167,179,"heavy_rail","183-line-15",2015
557,562,"commuter_rail","189-line-s2",2008
84,396,"brt","194-brt-2",2008
240,244,"heavy_rail","180-line-9",2012
112,134,"heavy_rail","181-line-10",2012
240,245,"heavy_rail","180-line-9",2011
12,35,"heavy_rail","175-line-4",2009
47,69,"heavy_rail","176-line-5",2007
72,92,"heavy_rail","177-line-6",2012
72,310,"heavy_rail","177-line-6",2018
135,155,"heavy_rail","178-line-7",2014
179,185,"heavy_rail","183-line-15",2021
185,191,"heavy_rail","183-line-15",2013
363,439,"light_rail","197-western-tram",2017
285,403,"default","192-batong-line",2003
316,356,"heavy_rail","179-line-8",2018
272,428,"heavy_rail","187-changping-line",2010
292,315,"heavy_rail","179-line-8",2013
329,336,"heavy_rail","179-line-8",2011
326,329,"heavy_rail","179-line-8",2013
134,359,"heavy_rail","181-line-10",2013
265,411,"heavy_rail","188-fangshan-line",2017
192,201,"heavy_rail","185-line-16",2016
255,456,"heavy_rail","188-fangshan-line",2020
372,376,"heavy_rail","184-line-15",2014
411,419,"heavy_rail","198-yanfang-line-",2017
388,392,"heavy_rail","184-line-15",2011
372,388,"heavy_rail","184-line-15",2010
287,300,"heavy_rail","174-line-2",1984
11,273,"heavy_rail","173-batong",1971
274,287,"heavy_rail","173-batong",1992
11,287,"heavy_rail","173-batong",1987
273,420,"heavy_rail","174-line-2",1987
155,317,"heavy_rail","178-line-7",2019
317,318,"heavy_rail","178-line-7",2019
318,319,"heavy_rail","178-line-7",2019
319,320,"heavy_rail","178-line-7",2019
320,321,"heavy_rail","178-line-7",2019
321,322,"heavy_rail","178-line-7",2019
322,323,"heavy_rail","178-line-7",2019
310,440,"heavy_rail","177-line-6",2018
273,420,"heavy_rail","173-batong",1971
1,2,"heavy_rail","173-batong",1973
273,287,"heavy_rail","174-line-2",1987
274,276,"heavy_rail","173-batong",2000
290,330,"heavy_rail","182-line-13",2002
297,330,"heavy_rail","182-line-13",2003
255,256,"heavy_rail","188-fangshan-line",2011
256,265,"heavy_rail","188-fangshan-line",2010
231,254,"heavy_rail","191-yizhuang-line",2010
231,232,"heavy_rail","191-yizhuang-line",2018
272,409,"heavy_rail","187-changping-line",2015
409,410,"heavy_rail","187-changping-line",2015
309,434,"heavy_rail","190-line-s1",2017
315,344,"heavy_rail","179-line-8",2018
316,344,"heavy_rail","179-line-8",2021
403,404,"default","192-batong-line",2019
404,405,"default","192-batong-line",2021
323,325,"heavy_rail","178-line-7",2019
324,325,"heavy_rail","178-line-7",2021
441,454,"tram","2887-yizhuang-t1",2020
201,208,"heavy_rail","185-line-16",2020
457,458,"heavy_rail","2894-daxing-airport-express",2019
1,460,"heavy_rail","173-batong",999999
470,478,"heavy_rail","2952-line-19",2021
309,480,"heavy_rail","190-line-s1",2021
482,501,"heavy_rail","2960-line-12",2024
458,510,"heavy_rail","2894-daxing-airport-express",999999
511,520,"heavy_rail","2961-line-3",2024
568,569,"commuter_rail","189-line-s2",2008
568,569,"commuter_rail","3079-line-s5",2020
545,561,"commuter_rail","189-line-s2",2022
542,543,"commuter_rail","3077-line-s1",2020
546,547,"commuter_rail","3077-line-s1",2020
543,546,"commuter_rail","3077-line-s1",2017
548,552,"commuter_rail","3079-line-s5",2020
464,465,"heavy_rail","2930-line-11",999998
465,467,"heavy_rail","2930-line-11",2021
173,521,"heavy_rail","3069-line-17",2021
173,372,"heavy_rail","3069-line-17",2023
208,209,"heavy_rail","185-line-16",2018
209,219,"heavy_rail","185-line-16",2025
428,502,"heavy_rail","187-changping-line",2021
502,509,"heavy_rail","187-changping-line",2023
253,573,"heavy_rail","177-line-6",2025
