"nodeID_from","nodeID_to","mode","line","year"
2,11,"light_rail","3830-red-line",2004
1,11,"light_rail","3830-red-line",2004
4,14,"light_rail","3830-red-line",2004
1,18,"light_rail","3830-red-line",2004
2,19,"light_rail","3830-red-line",2013
19,20,"light_rail","3830-red-line",2013
20,26,"light_rail","3830-red-line",2013
28,33,"light_rail","3831-purple-line",2015
28,33,"light_rail","3832-green-line",2015
27,33,"light_rail","3831-purple-line",2015
27,33,"light_rail","3832-green-line",2015
29,33,"light_rail","3831-purple-line",2015
29,33,"light_rail","3832-green-line",2015
27,34,"light_rail","3831-purple-line",2015
34,38,"light_rail","3831-purple-line",2015
27,42,"light_rail","3832-green-line",2015
43,44,"light_rail","3832-green-line",2017
42,43,"light_rail","3832-green-line",2017
