"nodeID_from","nodeID_to","mode","line","year"
36,39,"light_rail","766-expo-line",2016
30,31,"light_rail","766-expo-line",2012
120,121,"light_rail","766-expo-line",2012
25,29,"light_rail","766-expo-line",2012
29,120,"light_rail","766-expo-line",2012
25,30,"light_rail","766-expo-line",2012
31,32,"light_rail","766-expo-line",2012
32,33,"light_rail","766-expo-line",2016
33,34,"light_rail","766-expo-line",2016
34,36,"light_rail","766-expo-line",2016
37,39,"light_rail","766-expo-line",2016
41,45,"heavy_rail","767-red-line",1999
42,50,"heavy_rail","768-purple-line",1996
41,162,"heavy_rail","767-red-line",1999
13,14,"light_rail","765-blue-line",1990
121,132,"light_rail","766-expo-line",2012
126,138,"light_rail","765-blue-line",1991
123,132,"light_rail","766-expo-line",2012
9,12,"light_rail","765-blue-line",1990
125,126,"light_rail","765-blue-line",1991
123,125,"light_rail","765-blue-line",1990
9,123,"light_rail","765-blue-line",1990
21,23,"light_rail","765-blue-line",1990
12,13,"light_rail","765-blue-line",1990
14,15,"light_rail","765-blue-line",1990
18,23,"light_rail","765-blue-line",1990
21,23,"light_rail","765-blue-line",1990
41,45,"heavy_rail","768-purple-line",1993
41,162,"heavy_rail","768-purple-line",1993
123,125,"light_rail","766-expo-line",2012
125,126,"light_rail","766-expo-line",2012
126,138,"light_rail","766-expo-line",2012
40,45,"heavy_rail","768-purple-line",1993
40,42,"heavy_rail","768-purple-line",1996
42,52,"heavy_rail","767-red-line",1999
52,53,"heavy_rail","767-red-line",2000
40,42,"heavy_rail","767-red-line",1999
40,45,"heavy_rail","767-red-line",1999
85,93,"light_rail","3808-c-line",1995
85,86,"light_rail","3808-c-line",1995
94,95,"light_rail","3808-c-line",1995
84,86,"light_rail","3808-c-line",1995
84,115,"light_rail","3808-c-line",1995
83,115,"light_rail","3808-c-line",1995
82,83,"light_rail","3808-c-line",1995
82,87,"light_rail","3808-c-line",1995
11,87,"light_rail","3808-c-line",1995
11,88,"light_rail","3808-c-line",1995
96,99,"brt","3816-g-line",2005
99,235,"brt","3816-g-line",2005
101,235,"brt","3816-g-line",2005
101,102,"brt","3816-g-line",2005
102,103,"brt","3816-g-line",2005
103,104,"brt","3816-g-line",2005
104,105,"brt","3816-g-line",2005
105,106,"brt","3816-g-line",2005
106,107,"brt","3816-g-line",2005
107,108,"brt","3816-g-line",2005
108,109,"brt","3816-g-line",2005
109,110,"brt","3816-g-line",2012
110,112,"brt","3816-g-line",2012
112,113,"brt","3816-g-line",2012
108,114,"brt","3816-g-line",2005
108,109,"brt","3816-g-line",2005
108,114,"brt","3816-g-line",2005
