"nodeID_from","nodeID_to","mode","line","year"
32,43,"heavy_rail","3800-green-line",1984
2,32,"heavy_rail","3800-green-line",1984
2,25,"heavy_rail","3800-green-line",1984
3,25,"heavy_rail","3800-green-line",1984
4,9,"heavy_rail","3800-green-line",1984
3,4,"heavy_rail","3800-green-line",1984
9,18,"heavy_rail","3800-green-line",1985
9,10,"heavy_rail","3801-orange-line",2012
4,9,"heavy_rail","3801-orange-line",2012
3,4,"heavy_rail","3801-orange-line",2012
3,25,"heavy_rail","3801-orange-line",2012
2,25,"heavy_rail","3801-orange-line",2012
2,32,"heavy_rail","3801-orange-line",2012
32,43,"heavy_rail","3801-orange-line",2012
11,43,"heavy_rail","3800-green-line",1984
11,43,"heavy_rail","3801-orange-line",2012
11,12,"heavy_rail","3800-green-line",1984
11,12,"heavy_rail","3801-orange-line",2012
12,13,"heavy_rail","3800-green-line",1984
12,13,"heavy_rail","3801-orange-line",2012
13,14,"heavy_rail","3800-green-line",1984
13,14,"heavy_rail","3801-orange-line",2012
14,17,"heavy_rail","3800-green-line",1984
14,17,"heavy_rail","3801-orange-line",2012
16,17,"heavy_rail","3800-green-line",1984
16,17,"heavy_rail","3801-orange-line",2012
18,21,"heavy_rail","3800-green-line",1985
20,21,"heavy_rail","3800-green-line",1985
20,22,"heavy_rail","3800-green-line",1985
22,23,"heavy_rail","3800-green-line",2003
30,31,"people_mover","3802-inner-loop",1986
2,31,"people_mover","3802-inner-loop",1986
32,39,"people_mover","3804-brickell-loop",1994
29,33,"people_mover","3803-omni-loop",1994
26,33,"people_mover","3803-omni-loop",1994
39,44,"people_mover","3804-brickell-loop",1994
2,26,"people_mover","3802-inner-loop",1986
26,29,"people_mover","3802-inner-loop",1986
29,30,"people_mover","3802-inner-loop",1986
30,39,"people_mover","3802-inner-loop",1986
32,39,"people_mover","3802-inner-loop",1986
2,32,"people_mover","3802-inner-loop",1986
29,30,"people_mover","3803-omni-loop",1994
29,30,"people_mover","3804-brickell-loop",1994
30,39,"people_mover","3803-omni-loop",1994
30,39,"people_mover","3804-brickell-loop",1994
2,32,"people_mover","3803-omni-loop",1994
2,32,"people_mover","3804-brickell-loop",1994
2,26,"people_mover","3803-omni-loop",1994
2,26,"people_mover","3804-brickell-loop",1994
26,29,"people_mover","3804-brickell-loop",1994
32,39,"people_mover","3803-omni-loop",1994
33,38,"people_mover","3803-omni-loop",1994
19,45,"commuter_rail","3814-tri-rail",1989
10,45,"commuter_rail","3814-tri-rail",1998
10,46,"commuter_rail","3814-tri-rail",1998
19,47,"commuter_rail","3814-tri-rail",1989
50,51,"commuter_rail","3814-tri-rail",1989
59,60,"commuter_rail","3814-tri-rail",1989
