"nodeID_from","nodeID_to","mode","line","year"
1,7,"commuter_rail","2721-northstar-line",2009
8,9,"light_rail","2269-blue-line",2009
9,13,"light_rail","2269-blue-line",2004
13,26,"light_rail","2269-blue-line",2004
9,13,"light_rail","2270-green-line",2014
8,9,"light_rail","2270-green-line",2014
13,27,"light_rail","2270-green-line",2014
45,49,"brt","2271-red-line",2013
50,69,"brt","2749-a-line",2016
8,92,"light_rail","2270-green-line",2025
115,118,"brt","2752-metro-orange-line",2021
118,123,"brt","2752-metro-orange-line",2021
108,115,"brt","2752-metro-orange-line",2021
11,115,"brt","2752-metro-orange-line",2021
124,130,"brt","4662-d-line",2022
77,130,"brt","4662-d-line",2022
130,135,"brt","4662-d-line",2022
90,124,"brt","2750-c-line",2019
90,124,"brt","4662-d-line",2022
90,91,"brt","2750-c-line",2019
90,91,"brt","4662-d-line",2022
77,124,"brt","2750-c-line",2019
70,77,"brt","2750-c-line",2019
70,77,"brt","4662-d-line",2022
70,161,"brt","2750-c-line",2019
70,161,"brt","4662-d-line",2022
138,139,"brt","2750-c-line",2019
138,139,"brt","4662-d-line",2022
139,161,"brt","2750-c-line",2019
156,161,"brt","4662-d-line",2022
153,156,"brt","4662-d-line",2022
143,156,"brt","4662-d-line",2022
49,143,"brt","4662-d-line",2022
