"nodeID_from","nodeID_to","mode","line","year"
8,10,"heavy_rail","741-orange",2007
3,7,"heavy_rail","741-orange",1966
2,17,"heavy_rail","744-yellow",1967
16,17,"heavy_rail","744-yellow",1967
7,8,"heavy_rail","741-orange",1966
3,17,"heavy_rail","741-orange",1966
17,20,"heavy_rail","741-orange",1966
18,20,"heavy_rail","741-orange",1967
18,21,"heavy_rail","741-orange",1980
22,28,"heavy_rail","742-green",1978
22,38,"heavy_rail","742-green",1966
38,46,"heavy_rail","742-green",1976
21,30,"heavy_rail","741-orange",1980
30,49,"heavy_rail","741-orange",1980
49,50,"heavy_rail","741-orange",1981
50,51,"heavy_rail","741-orange",1981
51,52,"heavy_rail","741-orange",1981
57,58,"heavy_rail","743-blue",1987
58,61,"heavy_rail","743-blue",1986
52,57,"heavy_rail","743-blue",1988
52,63,"heavy_rail","741-orange",1982
64,65,"heavy_rail","741-orange",1984
63,65,"heavy_rail","741-orange",1982
66,67,"heavy_rail","741-orange",1984
64,66,"heavy_rail","741-orange",1984
67,68,"heavy_rail","741-orange",1986
69,72,"light_rail","4438-rem",
69,81,"light_rail","4438-rem",
