"nodeID_from","nodeID_to","mode","line","year"
23,62,"tram","2131-st.-charles-line",1835
62,67,"tram","2131-st.-charles-line",1893
78,84,"tram","2133-tulane-line",1871
67,72,"tram","2131-st.-charles-line",1900
72,84,"tram","2131-st.-charles-line",1900
36,113,"tram","2226-louisiana-line",1850
99,108,"tram","2238-canal-city-park-museum-branch",2004
6,99,"tram","2237-canal-cemeteries",2004
99,103,"tram","2237-canal-cemeteries",2004
6,99,"tram","2238-canal-city-park-museum-branch",2004
1,9,"tram","2240-riverfront-line",1988
41,112,"tram","2241-napoleon-line",1850
77,91,"tram","2254-loyola-upt-line",2013
1,77,"tram","2254-loyola-upt-line",2013
41,127,"tram","2241-napoleon-line",2022
123,127,"tram","2241-napoleon-line",2022
123,127,"tram","4258-12-broad",2022
127,151,"tram","4258-12-broad",2022
36,167,"tram","2226-louisiana-line",2022
170,192,"tram","4259-6-claiborne",2022
1,235,"tram","4260-15-st--bernard",2022
1,219,"tram","4261-17-elysian-fields",2022
84,167,"tram","2133-tulane-line",2022
99,108,"tram","2131-st.-charles-line",2004
84,99,"tram","2131-st.-charles-line",2022
30,91,"tram","2254-loyola-upt-line",2022
30,121,"tram","2254-loyola-upt-line",1835
91,199,"tram","2254-loyola-upt-line",2016
1,244,"tram","2242-jackson-line",2022
108,191,"tram","2242-jackson-line",2022
245,286,"tram","4262-24-gentilly",2022
312,323,"tram","4263-27-broadway",2022
123,323,"tram","4263-27-broadway",2022
289,300,"tram","4264-31-thalia",2022
300,301,"tram","4264-31-thalia",2022
301,310,"tram","4264-31-thalia",2022
324,337,"tram","2239-rampart-st.-claude-line",2022
337,340,"tram","2239-rampart-st.-claude-line",2022
340,344,"tram","2239-rampart-st.-claude-line",2022
9,113,"tram","2240-riverfront-line",2022
201,219,"tram","4265-55-franklin",2022
76,78,"tram","4266-9-orleans",2022
76,188,"tram","4266-9-orleans",2022
