"nodeID_from","nodeID_to","mode","line","year"
43,56,"heavy_rail","1216-ninth-ave-elevated",1868
36,40,"heavy_rail","1216-ninth-ave-elevated",1876
40,41,"heavy_rail","1216-ninth-ave-elevated",1875
41,43,"heavy_rail","1216-ninth-ave-elevated",1873
20,36,"heavy_rail","1216-ninth-ave-elevated",1879
20,170,"heavy_rail","1216-ninth-ave-elevated",1918
56,59,"heavy_rail","1216-ninth-ave-elevated",1872
38,77,"heavy_rail","1217-sixth-avenue-line",1881
77,78,"heavy_rail","1217-sixth-avenue-line",1881
59,77,"heavy_rail","1217-sixth-avenue-line",1881
59,614,"heavy_rail","1216-ninth-ave-elevated",1877
61,614,"heavy_rail","1216-ninth-ave-elevated",1877
833,835,"heavy_rail","1317-6th-avenue-line",1937
833,834,"heavy_rail","1317-6th-avenue-line",1950
832,835,"heavy_rail","1317-6th-avenue-line",1937
832,839,"heavy_rail","1317-6th-avenue-line",1936
91,115,"heavy_rail","1219-third-avenue-line",1878
91,126,"heavy_rail","1219-third-avenue-line",1878
81,126,"heavy_rail","1219-third-avenue-line",1878
61,81,"heavy_rail","1219-third-avenue-line",1878
109,110,"heavy_rail","1219-third-avenue-line",1902
115,182,"heavy_rail","1227-second-avenue-line",1880
81,182,"heavy_rail","1227-second-avenue-line",1880
80,81,"heavy_rail","1227-second-avenue-line",1879
182,206,"heavy_rail","1227-second-avenue-line",1917
218,220,"heavy_rail","1229-flushing-line",1968
206,217,"heavy_rail","1229-flushing-line",1968
200,607,"heavy_rail","745-1",1968
5,17,"heavy_rail","745-1",1968
224,233,"heavy_rail","1230-jerome-avenue-line",1968
221,224,"heavy_rail","1230-jerome-avenue-line",1968
203,206,"heavy_rail","1229-flushing-line",1968
202,203,"heavy_rail","1229-flushing-line",1968
217,218,"heavy_rail","1229-flushing-line",1968
260,261,"heavy_rail","1231-white-plains-road-line",1968
252,262,"heavy_rail","1233-dyre-avenue-line",1968
252,260,"heavy_rail","1231-white-plains-road-line",1968
235,238,"heavy_rail","1231-white-plains-road-line",1968
238,240,"heavy_rail","1231-white-plains-road-line",1968
17,617,"heavy_rail","745-1",1968
80,81,"heavy_rail","1219-third-avenue-line",1879
965,976,"commuter_rail","4690-long-island-rail-road",1865
285,286,"commuter_rail","1235-putnam-division",1881
285,299,"commuter_rail","1235-putnam-division",1881
291,300,"commuter_rail","1236-getty-square-branch",1881
585,594,"commuter_rail","1237-main-line",1983
90,91,"heavy_rail","1219-third-avenue-line",1878
94,126,"heavy_rail","1219-third-avenue-line",1880
96,115,"heavy_rail","1219-third-avenue-line",1886
97,115,"heavy_rail","1219-third-avenue-line",1886
97,244,"heavy_rail","1219-third-avenue-line",1886
141,145,"commuter_rail","1224-ny-westchester",1912
145,159,"commuter_rail","1224-ny-westchester",1912
141,145,"commuter_rail","1225-port-chester-line",1912
