"nodeID_from","nodeID_to","mode","line","year"
3,7,"tram","3798-downtown-loop",2018
3,7,"tram","3799-bricktown-loop",2018
4,9,"tram","3798-downtown-loop",2018
4,9,"tram","3799-bricktown-loop",2018
6,7,"tram","3798-downtown-loop",2018
6,7,"tram","3799-bricktown-loop",2018
5,9,"tram","3798-downtown-loop",2018
5,9,"tram","3799-bricktown-loop",2018
5,6,"tram","3799-bricktown-loop",2018
3,4,"tram","3798-downtown-loop",2018
3,4,"tram","3799-bricktown-loop",2018
5,13,"tram","3798-downtown-loop",2018
6,21,"tram","3798-downtown-loop",2018
13,21,"tram","3798-downtown-loop",2018
