"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","3498-valley-metro-rail",2008
2,10,"light_rail","3498-valley-metro-rail",2008
5,10,"light_rail","3498-valley-metro-rail",2008
5,8,"light_rail","3498-valley-metro-rail",2008
8,12,"light_rail","3498-valley-metro-rail",2008
11,12,"light_rail","3498-valley-metro-rail",2008
11,13,"light_rail","3498-valley-metro-rail",2015
13,18,"light_rail","3498-valley-metro-rail",2019
1,30,"light_rail","3498-valley-metro-rail",2008
19,30,"light_rail","3498-valley-metro-rail",2008
30,36,"light_rail","3498-valley-metro-rail",2008
36,40,"light_rail","3498-valley-metro-rail",2008
40,41,"light_rail","3498-valley-metro-rail",2016
41,44,"light_rail","3498-valley-metro-rail",2024
48,58,"light_rail","3498-valley-metro-rail",2024
25,53,"light_rail","3498-valley-metro-rail",2024
25,47,"light_rail","3498-valley-metro-rail",2024
