"nodeID_from","nodeID_to","mode","line","year"
221,228,"inter_city_rail","2804-washington-line",1903
229,230,"inter_city_rail","2804-washington-line",1910
228,229,"inter_city_rail","2804-washington-line",1903
193,203,"inter_city_rail","2805-charleroi-line",1903
64,151,"inter_city_rail","2805-charleroi-line",1903
151,153,"inter_city_rail","2805-charleroi-line",1903
151,153,"tram","2807-monogahela-street-railway",1900
153,164,"inter_city_rail","2805-charleroi-line",1903
153,164,"tram","2807-monogahela-street-railway",1900
164,170,"tram","2807-monogahela-street-railway",1901
164,170,"inter_city_rail","2805-charleroi-line",1903
170,187,"inter_city_rail","2805-charleroi-line",1902
187,193,"inter_city_rail","2805-charleroi-line",1902
170,208,"inter_city_rail","2805-charleroi-line",1903
208,219,"inter_city_rail","2805-charleroi-line",1906
208,219,"tram","2835-west-shore-electric-street-railway",1906
41,42,"inter_city_rail","2804-washington-line",1909
42,230,"inter_city_rail","2804-washington-line",1910
222,243,"inter_city_rail","2836-chartiers-branch",1871
221,222,"inter_city_rail","2836-chartiers-branch",1885
1,2,"people_mover","2473-duquesne-incline",1877
3,4,"people_mover","2472-monongahela-incline",1870
5,249,"commuter_rail","2476-patrain",1975
10,13,"light_rail","2469-red-line",1984
12,15,"light_rail","2469-red-line",2012
33,44,"light_rail","2469-red-line",1984
12,15,"light_rail","2471-blue-line",2012
37,44,"light_rail","2471-blue-line",2004
37,44,"light_rail","2469-red-line",2004
44,45,"light_rail","2471-blue-line",2004
69,95,"tram","2792-49-beltzhoover",1915
95,97,"tram","2795-44-knoxville-penna-station",1915
97,110,"tram","2793-48-arlington",1915
97,104,"tram","2793-48-arlington",1915
95,97,"light_rail","2637-brown-line",1984
95,97,"tram","2792-49-beltzhoover",1915
97,107,"light_rail","2637-brown-line",1984
97,107,"tram","2792-49-beltzhoover",1915
95,97,"tram","2793-48-arlington",1915
18,95,"light_rail","2637-brown-line",1984
18,95,"tram","2795-44-knoxville-penna-station",1915
18,95,"tram","2794-47-carrick-via-tunnel",1915
18,95,"tram","2793-48-arlington",1915
3,18,"brt","2634-south-busway",1977
3,18,"light_rail","2471-blue-line",2004
3,18,"light_rail","2470-silver-line",2020
3,18,"light_rail","2469-red-line",2004
3,18,"inter_city_rail","2804-washington-line",1910
18,45,"brt","2634-south-busway",1977
18,45,"light_rail","2471-blue-line",2004
18,45,"light_rail","2470-silver-line",2020
18,45,"inter_city_rail","2804-washington-line",1910
18,45,"light_rail","2469-red-line",1987
2,18,"tram","2798-40-mt.-washington",1915
3,18,"tram","2793-48-arlington",1915
3,18,"tram","2794-47-carrick-via-tunnel",1915
3,18,"tram","2795-44-knoxville-penna-station",1915
115,116,"tram","2945-7-charles-st.",1915
