"nodeID_from","nodeID_to","mode","line","year"
7,111,"light_rail","2095-max-blue-line",1986
32,111,"light_rail","2095-max-blue-line",1997
33,108,"light_rail","2095-max-blue-line",1997
33,37,"light_rail","2095-max-blue-line",1998
37,51,"light_rail","2095-max-blue-line",1998
19,55,"light_rail","2097-max-red-line",2001
19,31,"light_rail","2095-max-blue-line",1986
11,108,"light_rail","2095-max-blue-line",1986
169,170,"light_rail","2099-max-green-line",2009
74,75,"people_mover","2102-portland-aerial-tram",2007
37,86,"commuter_rail","2101-wes-commuter-rail",2009
157,169,"light_rail","2099-max-green-line",2009
85,156,"light_rail","2100-max-orange-line",2015
77,157,"light_rail","2100-max-orange-line",2015
77,156,"light_rail","2100-max-orange-line",2015
77,156,"tram","2104-a-loop",2015
77,156,"tram","2105-b-loop",2015
154,156,"tram","2104-a-loop",2015
154,156,"tram","2105-b-loop",2015
11,108,"light_rail","2097-max-red-line",2001
157,169,"light_rail","2100-max-orange-line",2015
97,160,"tram","2104-a-loop",2005
97,160,"tram","2105-b-loop",2005
97,160,"tram","2103-north-south-line",2005
77,96,"tram","2103-north-south-line",2006
96,97,"tram","2103-north-south-line",2005
96,97,"tram","2104-a-loop",2005
96,97,"tram","2105-b-loop",2005
77,96,"tram","2104-a-loop",2006
77,96,"tram","2105-b-loop",2006
77,93,"tram","2103-north-south-line",2006
120,160,"tram","2103-north-south-line",2001
120,160,"tram","2104-a-loop",2001
117,160,"tram","2105-b-loop",2001
117,160,"tram","2103-north-south-line",2001
117,119,"tram","2103-north-south-line",2001
117,119,"tram","2105-b-loop",2012
119,120,"tram","2105-b-loop",2001
119,120,"tram","2103-north-south-line",2001
120,132,"tram","2104-a-loop",2012
120,132,"tram","2105-b-loop",2012
132,154,"tram","2104-a-loop",2012
132,154,"tram","2105-b-loop",2012
7,111,"light_rail","2097-max-red-line",2001
32,111,"light_rail","2097-max-red-line",2001
33,108,"light_rail","2097-max-red-line",2001
33,37,"light_rail","2097-max-red-line",2001
12,19,"light_rail","2095-max-blue-line",1986
12,19,"light_rail","2097-max-red-line",2001
12,19,"light_rail","2099-max-green-line",2009
11,12,"light_rail","2095-max-blue-line",1986
11,12,"light_rail","2097-max-red-line",2001
11,12,"light_rail","2098-max-yellow-line",2004
11,12,"light_rail","2099-max-green-line",2009
12,56,"light_rail","2098-max-yellow-line",2004
11,157,"light_rail","2098-max-yellow-line",2009
11,157,"light_rail","2099-max-green-line",2009
11,108,"light_rail","2098-max-yellow-line",2004
7,111,"light_rail","2098-max-yellow-line",2004
157,169,"light_rail","2098-max-yellow-line",2009
