"nodeID_from","nodeID_to","mode","line","year"
31,133,"brt","484-troncal-h---caracas-sur",2001
124,133,"brt","484-troncal-h---caracas-sur",2001
46,66,"brt","487-troncal-l---carrera-10",2012
36,187,"commuter_rail","521-tren-turistico",1882
33,35,"default","523-ciudad-bolivar",2018
7,101,"brt","213-troncal-80-(d)",2000
15,17,"brt","314-troncal-autopista-(b)",2012
52,87,"brt","141-g30",2006
5,50,"brt","481-troncal-e---nqs-central",2005
45,120,"brt","491-troncal-f---americas",2003
127,133,"brt","484-troncal-h---caracas-sur",2001
44,173,"brt","486-troncal-k---calle-26",2012
42,45,"brt","485-troncal-j---eje-ambiental",2002
7,15,"brt","314-troncal-autopista-(b)",2001
7,31,"brt","480-troncal-caracas-(a)",2000
202,203,"brt","7279-troncal-p---carrera-68-calle-100",2027
142,151,"brt","483-troncal-g---nqs-sur",2006
38,142,"brt","483-troncal-g---nqs-sur",2006
142,156,"brt","483-troncal-g---nqs-sur",2013
157,159,"default","7278-san-cristobal",2027
42,44,"brt","485-troncal-j---eje-ambiental",2013
