"nodeID_from","nodeID_to","mode","line","year"
21,48,"light_rail","2244-gold-line",1987
1,15,"light_rail","2243-blue-line",1987
21,28,"light_rail","2243-blue-line",2003
14,15,"light_rail","2243-blue-line",1987
13,15,"light_rail","2243-blue-line",1987
13,18,"light_rail","2245-green-line",1987
13,18,"light_rail","2244-gold-line",1987
13,18,"light_rail","2243-blue-line",1987
13,35,"light_rail","2244-gold-line",2006
13,35,"light_rail","2245-green-line",2006
35,36,"light_rail","2244-gold-line",2006
14,34,"light_rail","2244-gold-line",2006
14,34,"light_rail","2245-green-line",2006
33,34,"light_rail","2245-green-line",2012
14,20,"light_rail","2245-green-line",1987
14,20,"light_rail","2244-gold-line",1987
14,20,"light_rail","2243-blue-line",1987
20,21,"light_rail","2244-gold-line",1987
20,21,"light_rail","2243-blue-line",1987
52,56,"light_rail","2244-gold-line",2005
50,52,"light_rail","2244-gold-line",2004
48,49,"light_rail","2244-gold-line",1998
49,50,"light_rail","2244-gold-line",2004
