"nodeID_from","nodeID_to","mode","line","year"
21,24,"light_rail","2289-blue-line",2013
4,30,"light_rail","2290-green-line",2013
1,4,"light_rail","2289-blue-line",1999
11,34,"light_rail","2290-green-line",2011
11,90,"tram","2465-s-line",2013
8,44,"light_rail","2291-red-line",2001
44,47,"light_rail","2291-red-line",2003
16,56,"light_rail","2291-red-line",2011
4,8,"light_rail","2289-blue-line",1999
4,8,"light_rail","2290-green-line",2011
8,11,"light_rail","2289-blue-line",1999
8,11,"light_rail","2290-green-line",2011
8,11,"light_rail","2291-red-line",2001
11,16,"light_rail","2289-blue-line",1999
16,21,"light_rail","2289-blue-line",1999
11,16,"light_rail","2291-red-line",2001
1,63,"commuter_rail","2466-frontrunner",2008
63,64,"commuter_rail","2466-frontrunner",2008
70,88,"brt","2467-utah-valley-express",2018
