"nodeID_from","nodeID_to","mode","line","year"
21,115,"heavy_rail","1765-line-7",2022
27,115,"heavy_rail","1765-line-7",2023
22,23,"heavy_rail","1725-line-2",
21,81,"heavy_rail","1725-line-2",2022
22,81,"heavy_rail","1725-line-2",2023
96,387,"heavy_rail","1726-line-3",2024
20,231,"heavy_rail","1726-line-3",2025
96,231,"heavy_rail","1726-line-3",2025
29,390,"heavy_rail","1775-line-4",
28,29,"heavy_rail","1775-line-4",
36,37,"heavy_rail","1731-line-1",
37,38,"heavy_rail","1731-line-1",
17,38,"heavy_rail","1731-line-1",
15,16,"heavy_rail","1727-line-1",2014
17,388,"heavy_rail","1767-line-8",2032
1,36,"heavy_rail","1731-line-1",2023
33,34,"heavy_rail","1764-line-5",
2,33,"heavy_rail","1771-line-12",
39,40,"light_rail","1778-line-1-wadala--jacob's-circle",2019
11,290,"commuter_rail","1758-line-4-vasai-rd-diva",2004
6,242,"commuter_rail","1729-line-1",1853
48,242,"commuter_rail","1730-line-1",1910
48,346,"commuter_rail","1730-line-1",1910
8,346,"commuter_rail","1730-line-1",1910
8,346,"commuter_rail","1733-line-1",1910
4,346,"commuter_rail","1733-line-1",0
5,8,"commuter_rail","1733-line-1",0
32,369,"heavy_rail","1772-line-13",
28,31,"heavy_rail","1769-line-10",
238,390,"heavy_rail","1770-line-11",2032
211,314,"heavy_rail","1773-line-14",
25,321,"heavy_rail","1773-line-14",
27,388,"heavy_rail","1765-line-7",
40,41,"light_rail","1778-line-1-wadala--jacob's-circle",2014
21,32,"heavy_rail","1768-line-9",
24,25,"heavy_rail","1724-red-line",
9,258,"commuter_rail","1760-line-1-thane--panvel",2005
14,259,"commuter_rail","1757-line-3-nerul--uran",2018
259,260,"commuter_rail","1757-line-3-nerul--uran",2018
12,394,"commuter_rail","1758-line-4-vasai-rd-diva",2004
290,394,"commuter_rail","1758-line-4-vasai-rd-diva",2004
257,392,"commuter_rail","1730-line-1",1990
257,392,"commuter_rail","1760-line-1-thane--panvel",1990
259,392,"commuter_rail","1730-line-1",1990
259,392,"commuter_rail","1760-line-1-thane--panvel",1990
259,392,"commuter_rail","1757-line-3-nerul--uran",1990
7,259,"commuter_rail","1730-line-1",1990
7,259,"commuter_rail","1760-line-1-thane--panvel",1990
7,400,"commuter_rail","5759-panvel-karjat-line",
258,391,"commuter_rail","1760-line-1-thane--panvel",2005
6,10,"commuter_rail","1729-line-1",1853
6,408,"commuter_rail","1729-line-1",1853
