"nodeID_from","nodeID_to","mode","line","year"
1,3,"light_rail","3772-blue-line",1981
1,4,"light_rail","3772-blue-line",1981
3,5,"light_rail","3772-blue-line",1981
5,6,"light_rail","3772-blue-line",1981
6,9,"light_rail","3772-blue-line",1981
8,9,"light_rail","3772-blue-line",1981
8,10,"light_rail","3772-blue-line",1981
10,11,"light_rail","3772-blue-line",1981
14,15,"light_rail","3772-blue-line",1981
14,63,"light_rail","3772-blue-line",1981
11,63,"light_rail","3772-blue-line",1981
15,17,"light_rail","3772-blue-line",1981
17,20,"light_rail","3772-blue-line",1981
18,20,"light_rail","3772-blue-line",1981
18,19,"light_rail","3772-blue-line",1981
25,27,"light_rail","3772-blue-line",2021
24,25,"light_rail","3772-blue-line",2021
26,27,"light_rail","3772-blue-line",2021
26,28,"light_rail","3772-blue-line",2021
30,31,"light_rail","3772-blue-line",2021
29,31,"light_rail","3772-blue-line",2021
30,32,"light_rail","3772-blue-line",2021
32,33,"light_rail","3772-blue-line",2021
36,37,"light_rail","3770-green-line",2005
37,38,"light_rail","3770-green-line",2005
22,23,"light_rail","3772-blue-line",1996
21,22,"light_rail","3772-blue-line",1996
22,23,"light_rail","3770-green-line",2012
21,22,"light_rail","3770-green-line",2012
41,43,"light_rail","3770-green-line",2005
43,44,"light_rail","3770-green-line",2005
44,45,"light_rail","3770-green-line",2005
45,48,"light_rail","3770-green-line",2005
48,49,"light_rail","3771-orange-line",1989
49,50,"light_rail","3771-orange-line",1989
46,48,"light_rail","3771-orange-line",1989
46,48,"light_rail","3770-green-line",2005
51,52,"light_rail","3771-orange-line",1989
50,51,"light_rail","3771-orange-line",1989
52,56,"light_rail","3771-orange-line",1989
47,53,"light_rail","3771-orange-line",1989
47,53,"light_rail","3770-green-line",2005
46,47,"light_rail","3771-orange-line",1989
46,47,"light_rail","3770-green-line",2005
38,39,"light_rail","3770-green-line",2005
39,40,"light_rail","3770-green-line",2005
40,42,"light_rail","3770-green-line",2005
53,54,"light_rail","3770-green-line",2005
55,59,"light_rail","3771-orange-line",1986
55,56,"light_rail","3771-orange-line",1986
54,57,"light_rail","3770-green-line",2005
54,57,"light_rail","3771-orange-line",1995
53,54,"light_rail","3771-orange-line",1995
57,58,"light_rail","3770-green-line",2005
57,58,"light_rail","3771-orange-line",1995
17,20,"light_rail","3771-orange-line",1986
15,17,"light_rail","3771-orange-line",1986
14,15,"light_rail","3771-orange-line",1986
24,25,"light_rail","3770-green-line",2005
24,25,"light_rail","3772-blue-line",1997
18,19,"light_rail","3770-green-line",2012
18,64,"light_rail","3770-green-line",2012
63,64,"light_rail","3770-green-line",2012
18,19,"light_rail","3771-orange-line",1986
18,20,"light_rail","3771-orange-line",1986
25,35,"light_rail","3770-green-line",2005
25,35,"light_rail","3772-blue-line",1997
35,36,"light_rail","3770-green-line",2005
35,36,"light_rail","3772-blue-line",1997
36,37,"light_rail","3772-blue-line",1997
37,38,"light_rail","3772-blue-line",1997
38,39,"light_rail","3772-blue-line",1997
39,40,"light_rail","3772-blue-line",1997
19,21,"light_rail","3772-blue-line",1992
40,42,"light_rail","3772-blue-line",1997
41,42,"light_rail","3770-green-line",2005
19,21,"light_rail","3770-green-line",2012
23,24,"light_rail","3772-blue-line",1996
23,24,"light_rail","3770-green-line",2012
63,64,"light_rail","3771-orange-line",1990
18,64,"light_rail","3771-orange-line",1990
18,19,"light_rail","3771-orange-line",1990
14,59,"light_rail","3771-orange-line",1986
14,63,"light_rail","3771-orange-line",1990
74,75,"commuter_rail","3829-coaster",1995
65,74,"commuter_rail","3829-coaster",1995
66,75,"commuter_rail","3829-coaster",1995
69,70,"commuter_rail","3829-coaster",1995
32,71,"commuter_rail","3829-coaster",1995
29,33,"commuter_rail","3829-coaster",1995
26,28,"commuter_rail","3829-coaster",1995
26,27,"commuter_rail","3829-coaster",1995
25,27,"commuter_rail","3829-coaster",1995
24,25,"commuter_rail","3829-coaster",1995
24,72,"commuter_rail","3829-coaster",1995
23,72,"commuter_rail","3829-coaster",1995
21,23,"commuter_rail","3829-coaster",1995
21,73,"commuter_rail","3829-coaster",1995
74,75,"commuter_rail","3828-sprinter",2008
76,77,"commuter_rail","3828-sprinter",2008
75,77,"commuter_rail","3828-sprinter",2008
76,78,"commuter_rail","3828-sprinter",2008
78,79,"commuter_rail","3828-sprinter",2008
79,80,"commuter_rail","3828-sprinter",2008
80,81,"commuter_rail","3828-sprinter",2008
81,82,"commuter_rail","3828-sprinter",2008
84,85,"commuter_rail","3828-sprinter",2008
84,86,"commuter_rail","3828-sprinter",2008
87,88,"commuter_rail","3828-sprinter",2008
