"nodeID_from","nodeID_to","mode","line","year"
6,12,"heavy_rail","2589-dublin-pleasanton-line",1997
6,12,"heavy_rail","2590-antioch-line",1974
6,12,"heavy_rail","2592-north-san-jose-daly-city-line",1974
6,12,"heavy_rail","2591-richmond-millbrae",1976
12,41,"heavy_rail","2591-richmond-millbrae",1976
12,41,"heavy_rail","2592-north-san-jose-daly-city-line",1974
12,41,"heavy_rail","2590-antioch-line",1974
12,41,"heavy_rail","2589-dublin-pleasanton-line",1997
11,41,"heavy_rail","2591-richmond-millbrae",1976
11,41,"heavy_rail","2592-north-san-jose-daly-city-line",1974
11,41,"heavy_rail","2590-antioch-line",1974
11,41,"heavy_rail","2589-dublin-pleasanton-line",1997
6,8,"heavy_rail","2591-richmond-millbrae",1976
3,4,"light_rail","813-k",1980
3,4,"light_rail","815-m",1980
3,4,"light_rail","814-l",1980
4,6,"light_rail","812-j",1980
4,6,"light_rail","813-k",1980
4,6,"light_rail","815-m",1980
4,6,"light_rail","816-n",1980
4,6,"light_rail","814-l",1980
6,8,"light_rail","814-l",1980
6,8,"light_rail","816-n",1980
6,8,"light_rail","815-m",1980
6,8,"light_rail","813-k",1980
6,8,"light_rail","812-j",1980
6,8,"heavy_rail","2592-north-san-jose-daly-city-line",1974
6,8,"heavy_rail","2590-antioch-line",1974
6,8,"heavy_rail","2589-dublin-pleasanton-line",1997
1,8,"heavy_rail","2591-richmond-millbrae",1976
1,8,"heavy_rail","2592-north-san-jose-daly-city-line",1974
1,8,"heavy_rail","2590-antioch-line",1974
1,8,"heavy_rail","2589-dublin-pleasanton-line",1997
1,8,"light_rail","814-l",1980
1,8,"light_rail","816-n",1980
1,8,"light_rail","815-m",1980
1,8,"light_rail","813-k",1980
1,8,"light_rail","812-j",1980
1,25,"heavy_rail","2591-richmond-millbrae",1976
1,25,"heavy_rail","2592-north-san-jose-daly-city-line",1974
1,25,"heavy_rail","2590-antioch-line",1974
1,25,"heavy_rail","2589-dublin-pleasanton-line",1997
6,12,"heavy_rail","2555-san-francisco",1973
6,8,"heavy_rail","2555-san-francisco",1973
50,59,"light_rail","817-t",2007
4,64,"light_rail","816-n",1928
16,17,"heavy_rail","2591-richmond-millbrae",2008
2,65,"light_rail","814-l",1919
3,12,"light_rail","812-j",1917
2,13,"light_rail","813-k",1919
2,41,"light_rail","815-m",1925
3,4,"light_rail","812-j",1917
2,3,"light_rail","815-m",1944
2,3,"light_rail","814-l",1918
2,3,"light_rail","813-k",1918
62,63,"tram","2557-e-embarcadero",2015
19,63,"tram","2557-e-embarcadero",2015
19,63,"tram","2556-f-market-and-wharves",2000
1,62,"light_rail","816-n",1998
59,62,"light_rail","816-n",1998
59,62,"tram","2557-e-embarcadero",2015
3,4,"light_rail","813-k",1972
3,4,"light_rail","815-m",1972
3,4,"tram","2556-f-market-and-wharves",1995
8,63,"tram","2556-f-market-and-wharves",2000
1,62,"light_rail","817-t",2007
59,62,"light_rail","817-t",2007
1,19,"tram","2560-california-cable-car",1890
1,12,"tram","2568-san-francisco-&-san-mateo-railway",1892
1,19,"tram","2569-sacramento-clay",1891
1,19,"tram","2570-sacramento-clay",1891
6,8,"tram","2561-market-street",1883
6,8,"tram","2575-mcallister",1883
6,8,"tram","2562-haight",1883
5,6,"tram","2562-haight",1883
5,6,"tram","2561-market-street",1883
6,8,"tram","2576-hayes",1886
5,6,"tram","2577-castro",1888
6,8,"tram","2577-castro",1888
3,5,"tram","2577-castro",1888
3,10,"tram","2577-castro",1888
12,13,"light_rail","812-j",1991
7,19,"tram","2563-washington-jackson",1888
7,19,"tram","2564-powell-mason-cable-car",1888
8,63,"tram","2574-sutter",1906
5,10,"tram","2561-market-street",1883
13,41,"tram","2568-san-francisco-&-san-mateo-railway",1891
13,41,"light_rail","815-m",
12,13,"tram","2568-san-francisco-&-san-mateo-railway",1891
6,8,"tram","2574-sutter",1906
6,8,"tram","2559-sutter-street",1877
8,63,"tram","2576-hayes",1886
8,63,"tram","2562-haight",1883
8,63,"tram","2575-mcallister",1883
5,8,"tram","2578-post",1889
4,7,"tram","2579-ellis",1889
4,5,"tram","2580-oak",1899
10,62,"tram","2566-omnibus-co.-howard-lines",1889
7,19,"tram","2582-powell-hyde-cable-car",1957
19,59,"light_rail","817-t",2021
6,19,"tram","2586-larkin",1888
5,6,"tram","2586-larkin",1887
6,7,"tram","2567-o'farrell-jones-hyde",1891
7,19,"tram","2567-o'farrell-jones-hyde",1891
7,20,"tram","2567-o'farrell-jones-hyde",1891
7,19,"tram","2567-o'farrell-jones-hyde",1891
1,10,"tram","2571-mission",
10,12,"tram","2587-40-san-mateo",1906
15,18,"tram","2587-40-san-mateo",1902
24,25,"heavy_rail","2588-richmond-north-san-jose",1972
23,24,"heavy_rail","2588-richmond-north-san-jose",1972
23,40,"heavy_rail","2588-richmond-north-san-jose",1973
25,27,"heavy_rail","2588-richmond-north-san-jose",1972
25,27,"heavy_rail","2589-dublin-pleasanton-line",1997
24,25,"heavy_rail","2590-antioch-line",1974
23,24,"heavy_rail","2590-antioch-line",1974
23,40,"heavy_rail","2591-richmond-millbrae",1976
24,25,"heavy_rail","2591-richmond-millbrae",1976
25,27,"heavy_rail","2592-north-san-jose-daly-city-line",1974
30,31,"heavy_rail","2588-richmond-north-san-jose",2017
30,31,"heavy_rail","2592-north-san-jose-daly-city-line",2017
32,33,"heavy_rail","2588-richmond-north-san-jose",2020
23,24,"heavy_rail","2591-richmond-millbrae",1976
11,14,"heavy_rail","2590-antioch-line",1996
14,15,"heavy_rail","2591-richmond-millbrae",2008
14,15,"heavy_rail","2590-antioch-line",2003
11,14,"heavy_rail","2591-richmond-millbrae",2008
1,10,"tram","2587-40-san-mateo",1906
10,12,"tram","2571-mission",1894
8,63,"tram","2561-market-street",1883
8,63,"tram","2577-castro",1888
32,33,"heavy_rail","2592-north-san-jose-daly-city-line",2020
31,33,"heavy_rail","2588-richmond-north-san-jose",2020
31,33,"heavy_rail","2592-north-san-jose-daly-city-line",2020
29,34,"heavy_rail","2590-antioch-line",1996
34,35,"heavy_rail","2593-ebart-line-(dmu)",2011
42,50,"light_rail","817-t",2007
12,41,"commuter_rail","2595-peninsula-line",1864
12,41,"commuter_rail","2596-ocean-view-branch",1907
12,41,"heavy_rail","2555-san-francisco",1973
11,41,"commuter_rail","2595-peninsula-line",1864
11,41,"heavy_rail","2555-san-francisco",1973
16,17,"heavy_rail","2589-dublin-pleasanton-line",2003
16,17,"heavy_rail","2590-antioch-line",2003
16,17,"heavy_rail","2597-sfo-millbrae-line",2019
17,18,"heavy_rail","2590-antioch-line",1863
17,18,"heavy_rail","2589-dublin-pleasanton-line",2003
12,36,"commuter_rail","2596-ocean-view-branch",1907
12,36,"commuter_rail","2595-peninsula-line",1863
18,36,"commuter_rail","820-baby-bullet",1985
18,36,"commuter_rail","2595-peninsula-line",1907
3,4,"light_rail","814-l",1918
3,4,"light_rail","813-k",1918
3,4,"tram","2556-f-market-and-wharves",1995
3,4,"light_rail","814-l",1972
11,14,"heavy_rail","2589-dublin-pleasanton-line",2003
11,14,"commuter_rail","2595-peninsula-line",1864
15,18,"heavy_rail","2591-richmond-millbrae",2008
