"nodeID_from","nodeID_to","mode","line","year"
8,10,"default","612-a",2007
10,12,"default","612-a",2007
3,38,"default","612-a",2007
4,9,"default","612-a",2007
9,11,"default","612-a",2007
14,15,"default","612-a",2007
5,7,"default","612-a",2007
5,14,"default","612-a",2007
5,13,"default","612-a",2007
22,26,"default","612-a",2008
4,6,"default","612-a",2007
5,6,"default","612-a",2007
13,16,"default","612-a",2007
15,17,"default","612-a",2007
21,22,"default","612-a",2008
16,19,"default","612-a",2007
17,18,"default","612-a",2007
24,25,"default","612-a",2003
26,27,"default","612-a",2008
23,26,"default","612-a",2008
20,21,"default","612-a",2003
25,26,"default","612-a",2008
20,28,"default","612-a",2003
24,29,"default","612-a",2003
28,31,"default","612-a",2003
30,32,"default","612-a",2003
32,42,"default","612-a",2003
32,42,"default","612-a",2003
41,42,"default","612-a",2003
42,43,"default","612-a",2003
40,43,"default","612-a",2003
40,45,"default","612-a",2003
31,33,"default","612-a",2003
29,30,"default","612-a",2003
32,33,"default","612-a",2003
33,35,"default","612-a",2003
32,34,"default","612-a",2003
34,36,"default","612-a",2003
35,37,"default","612-a",2003
37,39,"default","612-a",2003
36,38,"default","612-a",2003
41,44,"default","612-a",2003
58,65,"default","612-a",2003
57,64,"default","612-a",2003
46,48,"default","612-a",2003
45,46,"default","612-a",2003
44,47,"default","612-a",2003
47,49,"default","612-a",2003
50,52,"default","612-a",2003
51,53,"default","612-a",2003
48,50,"default","612-a",2003
52,53,"default","612-a",2003
52,58,"default","612-a",2003
52,58,"default","612-a",2003
56,61,"default","614-c",2004
57,58,"default","612-a",2003
54,56,"default","614-c",2004
55,59,"default","614-c",2004
65,67,"default","612-a",2003
64,66,"default","612-a",2003
67,69,"default","612-a",2003
68,73,"default","612-a",2003
66,68,"default","612-a",2003
69,70,"default","612-a",2003
70,87,"default","612-a",2003
70,87,"default","612-a",2003
88,90,"default","612-a",2005
92,95,"default","612-a",2005
93,94,"default","612-a",2005
70,73,"default","612-a",2003
85,87,"default","612-a",2005
84,87,"default","612-a",2003
84,86,"default","612-a",2005
86,88,"default","612-a",2005
85,89,"default","612-a",2005
89,91,"default","612-a",2005
90,93,"default","612-a",2005
91,92,"default","612-a",2005
18,95,"default","612-a",2005
19,94,"default","612-a",2005
11,97,"default","612-a",2015
12,96,"default","612-a",2015
97,101,"default","612-a",2015
99,100,"default","612-a",2015
96,99,"default","612-a",2015
98,101,"default","612-a",2015
98,102,"default","612-a",2015
100,103,"default","612-a",2015
103,105,"default","612-a",2015
102,104,"default","612-a",2015
115,118,"default","613-b",2004
119,120,"default","613-b",2004
136,138,"default","613-b",2007
135,137,"default","613-b",2007
137,138,"default","613-b",2007
105,106,"default","612-a",2015
104,105,"default","612-a",2015
71,83,"default","613-b",2004
72,82,"default","613-b",2004
107,109,"default","613-b",2004
82,108,"default","613-b",2004
83,107,"default","613-b",2004
108,110,"default","613-b",2004
110,112,"default","613-b",2004
109,111,"default","613-b",2004
111,113,"default","613-b",2004
115,116,"default","613-b",2004
112,113,"default","613-b",2004
113,116,"default","613-b",2004
113,114,"default","613-b",2004
114,117,"default","613-b",2004
117,118,"default","613-b",2004
118,120,"default","613-b",2004
121,124,"default","613-b",2004
128,131,"default","613-b",2004
118,122,"default","613-b",2004
121,122,"default","613-b",2004
124,128,"default","613-b",2004
119,123,"default","613-b",2004
123,126,"default","613-b",2004
126,129,"default","613-b",2004
129,130,"default","613-b",2004
131,132,"default","613-b",2004
133,134,"default","613-b",2015
132,134,"default","613-b",2004
133,135,"default","613-b",2007
130,133,"default","613-b",2004
134,136,"default","613-b",2007
143,144,"default","613-b",2015
141,142,"default","613-b",2015
141,142,"default","613-b",2015
141,143,"default","613-b",2015
143,144,"default","613-b",2015
144,145,"default","613-b",2015
140,142,"default","613-b",2015
145,148,"default","613-b",2015
147,148,"default","613-b",2015
147,148,"default","613-b",2015
133,140,"default","613-b",2015
71,154,"default","613-b",2007
72,149,"default","613-b",2007
163,217,"default","613-b",2008
61,151,"default","614-c",2007
149,163,"default","613-b",2007
172,173,"default","613-b",2014
60,150,"default","614-c",2007
166,217,"default","613-b",2008
165,217,"default","613-b",2008
171,172,"default","613-b",2014
165,168,"default","613-b",2008
166,167,"default","613-b",2008
170,172,"default","613-b",2008
168,170,"default","613-b",2008
167,169,"default","613-b",2008
169,171,"default","613-b",2008
154,163,"default","613-b",2007
7,8,"default","612-a",2007
49,51,"default","612-a",2003
59,179,"default","614-c",2004
186,189,"default","614-c",2015
55,60,"default","614-c",2004
54,174,"default","614-c",2004
174,182,"default","614-c",2008
179,183,"default","614-c",2008
183,185,"default","614-c",2008
182,185,"default","614-c",2008
185,186,"default","614-c",2015
185,186,"default","614-c",2015
189,191,"default","614-c",2015
202,203,"default","614-c",2014
203,206,"default","614-c",2015
151,202,"default","614-c",2007
208,210,"default","614-c",2015
205,206,"default","614-c",2015
204,205,"default","614-c",2015
202,215,"default","614-c",2016
206,208,"default","614-c",2015
206,208,"default","614-c",2015
208,210,"default","614-c",2015
216,218,"default","615-bat",2013
72,222,"default","616-d",2019
