"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","683-ttc-subway",1954
1,5,"heavy_rail","683-ttc-subway",1963
7,71,"heavy_rail","683-ttc-subway",2017
72,96,"light_rail","845-line-5-eglington",2022
191,197,"commuter_rail","850-barrie-line",1982
191,197,"commuter_rail","849-kitchener-line",1974
191,197,"commuter_rail","848-milton-line",1981
2,3,"heavy_rail","683-ttc-subway",1973
60,116,"commuter_rail","848-milton-line",1981
68,242,"commuter_rail","850-barrie-line",1982
60,191,"commuter_rail","849-kitchener-line",1974
60,191,"commuter_rail","848-milton-line",1981
3,4,"heavy_rail","683-ttc-subway",1974
68,191,"commuter_rail","850-barrie-line",1982
218,222,"commuter_rail","847-lakeshore-east-line",1967
169,213,"commuter_rail","851-richmond-hill-line",1978
211,213,"commuter_rail","851-richmond-hill-line",2016
218,249,"commuter_rail","852-stouffville-line",1982
249,250,"commuter_rail","852-stouffville-line",2008
6,11,"heavy_rail","683-ttc-subway",1978
6,7,"heavy_rail","683-ttc-subway",1996
13,36,"heavy_rail","794-line-2-bloor-danforth",1968
12,35,"heavy_rail","794-line-2-bloor-danforth",1968
35,37,"heavy_rail","794-line-2-bloor-danforth",1980
36,38,"heavy_rail","794-line-2-bloor-danforth",1980
10,34,"heavy_rail","796-line-4-sheppard",2002
39,55,"heavy_rail","795-line-3-scarborough",1985
12,13,"heavy_rail","794-line-2-bloor-danforth",1966
124,129,"tram","3418-510---spadina",1997
124,129,"tram","3418-510---spadina",1997
205,206,"tram","3425-512---st.-clair",1954
18,206,"tram","3425-512---st.-clair",1924
82,206,"tram","3425-512---st.-clair",1925
153,207,"tram","3418-510---spadina",1990
152,161,"tram","3423-509---harbourfront",2000
190,193,"tram","3420-504---king",1923
190,193,"tram","3428-504a---king",2018
60,192,"tram","3420-504---king",1966
60,192,"tram","3428-504a---king",2018
169,171,"tram","3420-504---king",2016
169,171,"tram","3427-514---cherry",2016
169,171,"tram","3428-504a---king",2018
60,193,"tram","3420-504---king",1923
60,193,"tram","3428-504a---king",2018
203,204,"tram","3421-505---dundas",1966
203,204,"tram","3420-504---king",1966
203,204,"tram","3429-504b---king",2018
171,198,"tram","3429-504b---king",2018
191,193,"tram","3421-505---dundas",1966
60,193,"tram","3421-505---dundas",1966
60,192,"tram","3421-505---dundas",1966
144,181,"tram","3426-503---kingston-rd",2018
161,197,"tram","3424-511---bathurst",1931
161,162,"tram","3424-511---bathurst",1931
161,162,"tram","3423-509---harbourfront",2000
171,198,"tram","3420-504---king",1921
195,197,"tram","3424-511---bathurst",1921
23,184,"tram","3419-501---queen",1923
130,144,"tram","3418-510---spadina",1997
144,145,"tram","3426-503---kingston-rd",2018
144,145,"tram","3418-510---spadina",1997
145,152,"tram","3418-510---spadina",1997
185,190,"tram","3420-504---king",1921
185,190,"tram","3427-514---cherry",2016
185,190,"tram","3428-504a---king",2018
185,190,"tram","3429-504b---king",2018
185,195,"tram","3420-504---king",1921
185,195,"tram","3427-514---cherry",2016
185,195,"tram","3428-504a---king",2018
185,195,"tram","3429-504b---king",2018
176,198,"tram","3422-506---carlton",1923
28,132,"tram","3422-506---carlton",1921
129,130,"tram","3418-510---spadina",1997
124,126,"tram","3418-510---spadina",1997
21,28,"tram","3422-506---carlton",1921
56,135,"tram","3424-511---bathurst",1921
184,198,"tram","3421-505---dundas",1966
59,184,"tram","3421-505---dundas",1966
59,191,"tram","3421-505---dundas",1966
124,126,"tram","3442-belt",1891
121,126,"tram","3442-belt",1891
23,184,"tram","3433-queen",1861
185,195,"tram","3434-king",1881
129,130,"tram","3421-505---dundas",1921
129,130,"tram","3437-spadina",1883
130,144,"tram","3437-spadina",1878
135,195,"tram","3424-511---bathurst",1921
14,178,"tram","3436-church",1881
59,184,"tram","3441-brockton",1882
59,191,"tram","3441-brockton",1885
144,145,"tram","3437-spadina",1878
56,135,"tram","3440-bathurst",1885
124,126,"tram","3437-spadina",1883
124,129,"tram","3437-spadina",1883
124,129,"tram","3437-spadina",1883
28,132,"tram","3439-college",1883
21,28,"tram","3439-college",1885
15,19,"tram","3432-yonge",1885
23,24,"tram","3432-yonge",1861
24,153,"tram","3432-yonge",1884
121,126,"tram","3437-spadina",1883
1,153,"tram","3432-yonge",1884
1,153,"tram","3436-church",1881
153,178,"tram","3436-church",1881
153,178,"tram","3434-king",1874
23,24,"tram","3433-queen",1861
21,45,"tram","3435-sherbourne",1878
145,195,"tram","3420-504---king",1921
145,195,"tram","3427-514---cherry",2016
145,195,"tram","3428-504a---king",2018
145,195,"tram","3429-504b---king",2018
172,175,"tram","3420-504---king",1921
172,175,"tram","3427-514---cherry",2016
172,175,"tram","3428-504a---king",2018
172,175,"tram","3429-504b---king",2018
145,160,"tram","3420-504---king",1921
145,160,"tram","3427-514---cherry",2016
145,160,"tram","3428-504a---king",2018
145,160,"tram","3429-504b---king",2018
24,160,"tram","3420-504---king",1921
24,160,"tram","3427-514---cherry",2016
24,160,"tram","3428-504a---king",2018
24,160,"tram","3429-504b---king",2018
46,176,"tram","3422-506---carlton",1923
21,46,"tram","3422-506---carlton",1923
21,46,"tram","3435-sherbourne",1874
46,198,"tram","3435-sherbourne",1881
24,178,"tram","3420-504---king",1923
24,178,"tram","3427-514---cherry",2016
24,178,"tram","3428-504a---king",2018
24,178,"tram","3429-504b---king",2018
175,178,"tram","3420-504---king",1923
175,178,"tram","3427-514---cherry",2016
175,178,"tram","3428-504a---king",2018
175,178,"tram","3429-504b---king",2018
172,176,"tram","3420-504---king",1921
172,176,"tram","3427-514---cherry",2016
172,176,"tram","3428-504a---king",2018
172,176,"tram","3429-504b---king",2018
171,176,"tram","3420-504---king",1921
171,176,"tram","3427-514---cherry",2016
171,176,"tram","3428-504a---king",2018
171,176,"tram","3429-504b---king",2018
21,45,"tram","3442-belt",1891
21,172,"tram","3442-belt",1891
172,175,"tram","3442-belt",1891
175,178,"tram","3442-belt",1891
24,178,"tram","3442-belt",1891
24,160,"tram","3442-belt",1891
145,160,"tram","3442-belt",1891
144,145,"tram","3442-belt",1891
130,144,"tram","3442-belt",1891
129,130,"tram","3442-belt",1891
