"nodeID_from","nodeID_to","mode","line","year"
2,5,"heavy_rail","311-canada-line",2009
2,3,"heavy_rail","311-canada-line",2009
23,27,"heavy_rail","312-expo-line",1990
27,28,"heavy_rail","312-expo-line",1994
26,28,"heavy_rail","312-expo-line",1994
33,34,"heavy_rail","313-millennium-line",2002
33,35,"heavy_rail","313-millennium-line",2002
31,35,"heavy_rail","313-millennium-line",2002
20,22,"heavy_rail","312-expo-line",1985
20,21,"heavy_rail","312-expo-line",1985
21,23,"heavy_rail","312-expo-line",1985
19,22,"heavy_rail","312-expo-line",1985
31,32,"heavy_rail","313-millennium-line",2002
13,32,"heavy_rail","313-millennium-line",2002
13,38,"heavy_rail","313-millennium-line",2006
34,36,"heavy_rail","313-millennium-line",2002
37,41,"heavy_rail","313-millennium-line",2016
42,44,"heavy_rail","313-millennium-line",2016
43,44,"heavy_rail","313-millennium-line",2016
43,46,"heavy_rail","313-millennium-line",2016
4,5,"heavy_rail","311-canada-line",2009
4,48,"heavy_rail","311-canada-line",2009
48,49,"heavy_rail","311-canada-line",2009
49,50,"heavy_rail","311-canada-line",2009
50,51,"heavy_rail","311-canada-line",2009
51,54,"heavy_rail","311-canada-line",2009
54,55,"heavy_rail","311-canada-line",2009
50,53,"heavy_rail","311-canada-line",2009
53,56,"heavy_rail","311-canada-line",2009
23,39,"heavy_rail","312-expo-line",2016
23,39,"heavy_rail","313-millennium-line",2002
37,39,"heavy_rail","312-expo-line",2016
37,39,"heavy_rail","313-millennium-line",2002
37,40,"heavy_rail","313-millennium-line",2002
37,40,"heavy_rail","312-expo-line",2016
36,40,"heavy_rail","313-millennium-line",2002
36,40,"heavy_rail","312-expo-line",2016
1,57,"heavy_rail","312-expo-line",1985
1,57,"heavy_rail","313-millennium-line",2002
1,9,"heavy_rail","312-expo-line",1985
1,9,"heavy_rail","313-millennium-line",2002
9,10,"heavy_rail","312-expo-line",1985
9,10,"heavy_rail","313-millennium-line",2002
10,38,"heavy_rail","312-expo-line",1985
10,38,"heavy_rail","313-millennium-line",2002
13,38,"heavy_rail","312-expo-line",1985
13,38,"heavy_rail","313-millennium-line",2002
12,13,"heavy_rail","312-expo-line",1985
12,13,"heavy_rail","313-millennium-line",2002
11,12,"heavy_rail","312-expo-line",1985
11,12,"heavy_rail","313-millennium-line",2002
11,18,"heavy_rail","312-expo-line",1985
11,18,"heavy_rail","313-millennium-line",2002
17,18,"heavy_rail","312-expo-line",1985
17,18,"heavy_rail","313-millennium-line",2002
14,17,"heavy_rail","312-expo-line",1985
14,17,"heavy_rail","313-millennium-line",2002
14,16,"heavy_rail","312-expo-line",1985
14,16,"heavy_rail","313-millennium-line",2002
16,19,"heavy_rail","312-expo-line",1985
16,19,"heavy_rail","313-millennium-line",2002
20,22,"heavy_rail","313-millennium-line",2002
20,21,"heavy_rail","313-millennium-line",2002
21,23,"heavy_rail","313-millennium-line",2002
19,22,"heavy_rail","313-millennium-line",2002
