"nodeID_from","nodeID_to","mode","line","year"
4,5,"light_rail","1057-manitoba-line",2016
36,44,"light_rail","1057-manitoba-line",2018
44,47,"light_rail","1057-manitoba-line",2020
48,51,"light_rail","1060-prairie-line",2017
14,74,"light_rail","1059-red-line",2019
28,74,"light_rail","1059-red-line",2020
21,35,"light_rail","1058-canada-line",2017
4,35,"light_rail","1058-canada-line",2016
4,28,"light_rail","1058-canada-line",2017
2,78,"light_rail","1062-university-line",2017
78,86,"light_rail","1062-university-line",2017
5,8,"light_rail","1057-manitoba-line",2016
43,51,"light_rail","1060-prairie-line",2016
43,56,"light_rail","1060-prairie-line",2017
70,72,"light_rail","1061-airport-line",2017
64,70,"light_rail","1061-airport-line",2017
4,64,"light_rail","1061-airport-line",2016
4,36,"light_rail","1057-manitoba-line",2016
36,41,"light_rail","1057-manitoba-line",2017
21,24,"light_rail","1058-canada-line",2018
24,30,"light_rail","1058-canada-line",2020
28,34,"light_rail","1058-canada-line",2020
41,56,"light_rail","1060-prairie-line",2018
41,60,"light_rail","1060-prairie-line",2019
60,62,"light_rail","1060-prairie-line",2020
62,63,"light_rail","1060-prairie-line",2021
34,77,"light_rail","1058-canada-line",2021
86,89,"light_rail","1063-highway-line",2019
86,90,"light_rail","1063-highway-line",2019
4,9,"light_rail","1063-highway-line",2018
4,9,"light_rail","1059-red-line",2018
9,86,"light_rail","1059-red-line",2018
9,89,"light_rail","1063-highway-line",2019
1,14,"light_rail","1059-red-line",2018
