"nodeID_from","nodeID_to","mode","line","year"
6,147,"light_rail","1255-6",2007
6,147,"light_rail","1257-8",2007
6,11,"light_rail","1255-6",2007
6,11,"light_rail","1255-6",2007
4,6,"light_rail","1257-8",2007
4,7,"light_rail","1257-8",2007
6,147,"light_rail","1255-6",2007
6,147,"light_rail","1257-8",2007
4,7,"light_rail","1257-8",2007
28,47,"light_rail","1253-4",1994
28,47,"light_rail","1253-4",1994
47,152,"light_rail","1253-4",1994
47,152,"light_rail","1253-4",1994
49,152,"light_rail","1253-4",1994
49,152,"light_rail","1253-4",1994
49,57,"light_rail","1253-4",1994
49,58,"light_rail","1253-4",1994
57,58,"light_rail","1253-4",1994
49,57,"light_rail","1253-4",1994
49,57,"light_rail","1253-4",1994
57,59,"light_rail","1253-4",1994
57,59,"light_rail","1253-4",1994
59,61,"light_rail","1253-4",2005
59,64,"light_rail","1253-4",2005
59,61,"light_rail","1253-4",2005
59,64,"light_rail","1253-4",2005
61,68,"light_rail","1253-4",2005
61,68,"light_rail","1253-4",2005
78,100,"heavy_rail","1252-3",1995
78,100,"heavy_rail","1258-9",1995
78,100,"heavy_rail","1252-3",1995
78,100,"heavy_rail","1258-9",1995
78,80,"heavy_rail","1252-3",0
78,80,"heavy_rail","1258-9",0
78,80,"heavy_rail","1252-3",0
78,80,"heavy_rail","1258-9",0
79,80,"heavy_rail","1252-3",0
79,80,"heavy_rail","1258-9",0
79,80,"heavy_rail","1252-3",0
79,80,"heavy_rail","1258-9",0
79,82,"heavy_rail","1252-3",0
81,82,"heavy_rail","1252-3",0
81,82,"heavy_rail","1252-3",0
81,84,"heavy_rail","1252-3",0
83,84,"heavy_rail","1252-3",0
83,84,"heavy_rail","1252-3",0
83,85,"heavy_rail","1252-3",0
85,86,"heavy_rail","1252-3",0
85,86,"heavy_rail","1252-3",0
86,88,"heavy_rail","1252-3",0
87,88,"heavy_rail","1252-3",0
87,90,"heavy_rail","1252-3",0
87,88,"heavy_rail","1252-3",0
89,90,"heavy_rail","1252-3",0
89,93,"heavy_rail","1252-3",0
89,90,"heavy_rail","1252-3",0
92,95,"heavy_rail","1252-3",0
92,93,"heavy_rail","1252-3",0
11,28,"light_rail","1255-6",2007
9,11,"light_rail","1253-4",1994
9,11,"light_rail","1255-6",2007
11,28,"light_rail","1253-4",1994
92,93,"heavy_rail","1252-3",0
94,95,"heavy_rail","1252-3",0
94,95,"heavy_rail","1252-3",0
100,101,"heavy_rail","1252-3",1998
100,101,"heavy_rail","1254-5",1998
100,101,"heavy_rail","1256-7",1998
100,101,"heavy_rail","1258-9",1998
100,101,"heavy_rail","1252-3",1998
100,101,"heavy_rail","1254-5",1998
100,101,"heavy_rail","1256-7",1998
100,101,"heavy_rail","1258-9",1998
100,146,"heavy_rail","1254-5",2003
100,146,"heavy_rail","1256-7",2003
100,146,"heavy_rail","1254-5",2003
100,146,"heavy_rail","1256-7",2003
101,106,"heavy_rail","1252-3",1998
101,106,"heavy_rail","1254-5",1998
101,106,"heavy_rail","1256-7",1998
101,106,"heavy_rail","1258-9",1998
101,106,"heavy_rail","1252-3",1998
101,106,"heavy_rail","1254-5",1998
101,106,"heavy_rail","1256-7",1998
101,106,"heavy_rail","1258-9",1998
106,239,"heavy_rail","1256-7",2005
106,123,"heavy_rail","1252-3",1998
106,123,"heavy_rail","1254-5",1998
106,123,"heavy_rail","1258-9",1998
106,239,"heavy_rail","1256-7",2005
106,123,"heavy_rail","1252-3",1998
106,123,"heavy_rail","1254-5",1998
106,123,"heavy_rail","1258-9",1998
116,123,"heavy_rail","1252-3",0
116,123,"heavy_rail","1254-5",0
116,123,"heavy_rail","1258-9",0
116,123,"heavy_rail","1252-3",0
116,123,"heavy_rail","1254-5",0
116,123,"heavy_rail","1258-9",0
30,197,"heavy_rail","1250-a",1988
30,197,"heavy_rail","1251-2",1988
30,197,"heavy_rail","1250-a",1988
30,197,"heavy_rail","1251-2",1988
116,132,"heavy_rail","1252-3",0
116,132,"heavy_rail","1254-5",0
116,132,"heavy_rail","1258-9",0
132,138,"heavy_rail","1252-3",2007
132,138,"heavy_rail","1254-5",2007
132,138,"heavy_rail","1258-9",2007
132,138,"heavy_rail","1252-3",2007
132,138,"heavy_rail","1254-5",2007
132,138,"heavy_rail","1258-9",2007
116,132,"heavy_rail","1252-3",2007
116,132,"heavy_rail","1254-5",2007
116,132,"heavy_rail","1258-9",2007
138,140,"heavy_rail","1258-9",0
138,140,"heavy_rail","1258-9",0
139,140,"heavy_rail","1258-9",0
139,140,"heavy_rail","1258-9",0
139,141,"heavy_rail","1258-9",0
141,142,"heavy_rail","1258-9",0
141,142,"heavy_rail","1258-9",0
141,145,"heavy_rail","1258-9",0
143,144,"heavy_rail","1258-9",0
144,145,"heavy_rail","1258-9",0
144,145,"heavy_rail","1258-9",0
146,147,"heavy_rail","1254-5",2007
146,147,"heavy_rail","1256-7",2007
146,147,"light_rail","1255-6",2007
146,147,"light_rail","1257-8",2007
148,149,"heavy_rail","1250-a",0
148,149,"heavy_rail","1251-2",0
38,148,"heavy_rail","1250-a",0
38,148,"heavy_rail","1251-2",0
30,38,"heavy_rail","1250-a",0
30,38,"heavy_rail","1251-2",0
30,38,"heavy_rail","1250-a",0
30,38,"heavy_rail","1251-2",0
38,148,"heavy_rail","1250-a",0
38,148,"heavy_rail","1251-2",0
148,149,"heavy_rail","1250-a",0
148,149,"heavy_rail","1251-2",0
149,151,"heavy_rail","1251-2",0
149,151,"heavy_rail","1251-2",0
149,150,"heavy_rail","1250-a",0
149,150,"heavy_rail","1250-a",0
151,155,"heavy_rail","1251-2",0
151,155,"heavy_rail","1251-2",0
155,160,"heavy_rail","1251-2",0
155,160,"heavy_rail","1251-2",0
160,163,"heavy_rail","1251-2",0
163,164,"heavy_rail","1251-2",0
164,166,"heavy_rail","1251-2",0
163,164,"heavy_rail","1251-2",0
166,167,"heavy_rail","1251-2",0
167,169,"heavy_rail","1251-2",0
167,169,"heavy_rail","1251-2",0
169,172,"heavy_rail","1251-2",0
169,172,"heavy_rail","1251-2",0
172,173,"heavy_rail","1251-2",0
173,174,"heavy_rail","1251-2",0
172,173,"heavy_rail","1251-2",0
173,174,"heavy_rail","1251-2",0
174,177,"heavy_rail","1251-2",0
176,177,"heavy_rail","1251-2",0
176,177,"heavy_rail","1251-2",0
176,178,"heavy_rail","1251-2",0
178,179,"heavy_rail","1251-2",0
178,179,"heavy_rail","1251-2",0
179,180,"heavy_rail","1251-2",0
180,181,"heavy_rail","1251-2",0
181,182,"heavy_rail","1251-2",0
180,181,"heavy_rail","1251-2",0
28,183,"light_rail","1255-6",2007
28,183,"light_rail","1255-6",2007
194,239,"heavy_rail","1256-7",2005
194,239,"heavy_rail","1256-7",2005
194,197,"heavy_rail","1256-7",2005
194,197,"heavy_rail","1256-7",2005
197,198,"heavy_rail","1250-a",1988
197,198,"heavy_rail","1251-2",1988
197,198,"heavy_rail","1256-7",1988
197,198,"heavy_rail","1250-a",1988
197,198,"heavy_rail","1251-2",1988
197,198,"heavy_rail","1256-7",1988
198,201,"heavy_rail","1250-a",0
198,201,"heavy_rail","1251-2",0
198,201,"heavy_rail","1256-7",0
198,201,"heavy_rail","1250-a",0
198,201,"heavy_rail","1251-2",0
198,201,"heavy_rail","1256-7",0
201,202,"heavy_rail","1250-a",0
201,202,"heavy_rail","1251-2",0
201,202,"heavy_rail","1256-7",0
201,202,"heavy_rail","1250-a",0
201,202,"heavy_rail","1251-2",0
201,202,"heavy_rail","1256-7",0
202,204,"heavy_rail","1250-a",0
202,204,"heavy_rail","1251-2",0
202,204,"heavy_rail","1256-7",0
204,205,"heavy_rail","1250-a",0
204,205,"heavy_rail","1251-2",0
204,205,"heavy_rail","1256-7",0
204,205,"heavy_rail","1250-a",0
204,205,"heavy_rail","1251-2",0
204,205,"heavy_rail","1256-7",0
202,204,"heavy_rail","1250-a",0
202,204,"heavy_rail","1251-2",0
202,204,"heavy_rail","1256-7",0
205,206,"heavy_rail","1250-a",0
205,206,"heavy_rail","1251-2",0
205,206,"heavy_rail","1256-7",0
205,207,"heavy_rail","1250-a",0
205,207,"heavy_rail","1251-2",0
205,207,"heavy_rail","1256-7",0
206,207,"heavy_rail","1250-a",0
206,207,"heavy_rail","1251-2",0
206,207,"heavy_rail","1256-7",0
207,210,"heavy_rail","1250-a",0
207,210,"heavy_rail","1251-2",0
207,210,"heavy_rail","1256-7",0
207,210,"heavy_rail","1250-a",0
207,210,"heavy_rail","1251-2",0
207,210,"heavy_rail","1256-7",0
210,213,"heavy_rail","1250-a",0
210,211,"heavy_rail","1251-2",2004
210,211,"heavy_rail","1256-7",2004
210,211,"heavy_rail","1251-2",2004
210,211,"heavy_rail","1256-7",2004
211,212,"heavy_rail","1251-2",2004
211,212,"heavy_rail","1256-7",2004
213,216,"heavy_rail","1250-a",0
215,216,"heavy_rail","1250-a",0
215,218,"heavy_rail","1250-a",0
217,218,"heavy_rail","1250-a",0
217,218,"heavy_rail","1250-a",0
219,220,"heavy_rail","1250-a",0
220,221,"heavy_rail","1250-a",0
221,222,"heavy_rail","1250-a",0
221,222,"heavy_rail","1250-a",0
222,225,"heavy_rail","1250-a",0
224,227,"heavy_rail","1250-a",0
224,225,"heavy_rail","1250-a",0
224,225,"heavy_rail","1250-a",0
227,228,"heavy_rail","1250-a",0
227,228,"heavy_rail","1250-a",0
228,229,"heavy_rail","1250-a",0
229,230,"heavy_rail","1250-a",0
230,231,"heavy_rail","1250-a",0
232,233,"heavy_rail","1250-a",0
233,234,"heavy_rail","1250-a",0
233,234,"heavy_rail","1250-a",0
233,234,"heavy_rail","1250-a",0
217,219,"heavy_rail","1250-a",0
9,28,"light_rail","1255-6",2007
9,28,"light_rail","1253-4",1994
194,239,"light_rail","4367-10",
194,237,"light_rail","4367-10",
237,243,"light_rail","4367-10",
194,240,"light_rail","4367-10",
242,247,"light_rail","4367-10",
245,247,"light_rail","4367-10",
250,252,"light_rail","4367-10",
