"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","4193-1",2009
1,13,"light_rail","4193-1",2009
15,21,"light_rail","4193-1",2009
14,15,"light_rail","4193-1",2009
13,14,"light_rail","4193-1",2009
19,20,"light_rail","4193-1",2009
16,20,"light_rail","4193-1",2009
18,22,"light_rail","4193-1",2009
17,18,"light_rail","4193-1",2009
2,22,"light_rail","4193-1",2009
17,19,"light_rail","4193-1",2009
9,23,"tram","4194-t1",2007
24,27,"tram","4194-t1",2007
25,26,"tram","4194-t1",2007
8,27,"tram","4194-t1",2007
23,25,"tram","4194-t1",2007
9,24,"tram","4194-t1",2007
8,28,"tram","4194-t1",
22,32,"commuter_rail","4198-c-4",2004
22,31,"commuter_rail","4198-c-4",2004
31,40,"commuter_rail","4198-c-4",2004
32,33,"commuter_rail","4195-c-1",1991
33,65,"commuter_rail","4195-c-1",1991
35,37,"commuter_rail","4196-c-2",2012
35,37,"commuter_rail","4196-c-2",1992
35,36,"commuter_rail","4196-c-2",2012
34,37,"commuter_rail","4196-c-2",2012
34,37,"commuter_rail","4196-c-2",1992
34,43,"commuter_rail","4199-c-5",2011
30,41,"commuter_rail","4195-c-1",2011
30,41,"commuter_rail","4198-c-4",2011
30,41,"commuter_rail","4199-c-5",2011
30,32,"commuter_rail","4195-c-1",2015
30,32,"commuter_rail","4198-c-4",2015
30,32,"commuter_rail","4199-c-5",2015
55,56,"commuter_rail","4195-c-1",1991
61,62,"commuter_rail","4197-c-3",1991
55,62,"commuter_rail","4197-c-3",1991
64,65,"commuter_rail","4195-c-1",1991
64,67,"commuter_rail","4195-c-1",2010
30,32,"commuter_rail","4195-c-1",2004
30,32,"commuter_rail","4198-c-4",2004
32,71,"commuter_rail","4195-c-1",1991
30,41,"commuter_rail","4195-c-1",2004
30,41,"commuter_rail","4198-c-4",2004
