"nodeID_from","nodeID_to","mode","line","year"
1,3,"heavy_rail","307-l3",2017
3,7,"heavy_rail","307-l3",2017
18,20,"tram","308-a",2004
34,47,"heavy_rail","310-l1",1995
35,40,"heavy_rail","310-l1",2017
13,14,"tram","308-a",2003
8,13,"tram","308-a",2002
39,41,"commuter_rail","309-antigua-linea-a-plencia",1893
20,22,"tram","308-a",2012
14,18,"tram","308-a",2003
34,40,"heavy_rail","310-l1",1995
41,47,"commuter_rail","309-antigua-linea-a-plencia",1887
8,52,"tram","308-a",2022
56,57,"heavy_rail","4148-l2",2011
48,55,"heavy_rail","310-l1",1997
48,55,"heavy_rail","4148-l2",1997
55,56,"heavy_rail","310-l1",2005
55,56,"heavy_rail","4148-l2",2005
47,48,"heavy_rail","310-l1",1995
47,48,"heavy_rail","4148-l2",1995
69,70,"heavy_rail","4148-l2",2011
