"nodeID_from","nodeID_to","mode","line","year"
10,47,"default","168-linea-1",2001
1,11,"default","168-linea-1",2005
17,26,"default","169-linea-2",2016
34,35,"brt","1357-paicavi",2005
36,46,"brt","1359-colon",2014
47,61,"brt","2547-manuel-rodriguez",2005
62,65,"brt","2548-pedro-aguirre-cerda",2005
36,46,"tram","2954-concepcion-talcahuano",1908
4,35,"tram","2955-1-pedro-de-valdivia",1908
4,35,"tram","2956-2-maipu",1908
4,35,"tram","2959-6-collao",1908
4,35,"tram","2957-4-maipu",1908
4,30,"tram","2954-concepcion-talcahuano",1908
30,36,"tram","2954-concepcion-talcahuano",1908
4,30,"tram","2958-5-ejercito",1908
1,4,"default","168-linea-1",1999
4,17,"default","169-linea-2",2005
4,47,"default","168-linea-1",1999
11,46,"tram","2954-concepcion-talcahuano",1908
1,11,"tram","2984-tranvia-san-vicente-(animal)",1910
11,46,"tram","2985-talcahuano",1908
