"nodeID_from","nodeID_to","mode","line","year"
41,230,"default","1074-trentemoult-aval---gare-maritime",2022
42,51,"default","1075-parc-des-chantiers---gare-maritime---hangar-a-bananes---arbre-aux-herons---trentemoult-roquios",2023
94,130,"light_rail","318-tram-ligne-3",1992
6,130,"light_rail","318-tram-ligne-3",1992
1,232,"commuter_rail","1197-nantes---chateaubriant",2014
1,232,"commuter_rail","1197-nantes---chateaubriant",2014
1,70,"commuter_rail","1197-nantes---chateaubriant",2014
1,70,"commuter_rail","1197-nantes---chateaubriant",2014
70,72,"commuter_rail","1197-nantes---chateaubriant",2014
72,75,"commuter_rail","1197-nantes---chateaubriant",2014
76,78,"commuter_rail","1197-nantes---chateaubriant",2014
75,78,"commuter_rail","1197-nantes---chateaubriant",2014
76,78,"commuter_rail","1197-nantes---chateaubriant",2014
76,77,"commuter_rail","1197-nantes---chateaubriant",2014
77,82,"commuter_rail","1197-nantes---chateaubriant",2014
83,234,"commuter_rail","1197-nantes---chateaubriant",2014
82,83,"commuter_rail","1197-nantes---chateaubriant",2014
50,232,"commuter_rail","1197-nantes---chateaubriant",2014
50,60,"commuter_rail","1197-nantes---chateaubriant",2014
60,246,"commuter_rail","1197-nantes---chateaubriant",2014
60,246,"commuter_rail","1197-nantes---chateaubriant",2014
246,248,"commuter_rail","1197-nantes---chateaubriant",2014
248,249,"commuter_rail","1197-nantes---chateaubriant",2014
248,249,"commuter_rail","1197-nantes---chateaubriant",2014
249,251,"commuter_rail","1197-nantes---chateaubriant",2014
249,251,"commuter_rail","1197-nantes---chateaubriant",2014
251,252,"commuter_rail","1197-nantes---chateaubriant",2014
252,253,"commuter_rail","1197-nantes---chateaubriant",2014
254,255,"commuter_rail","1197-nantes---chateaubriant",2014
254,255,"commuter_rail","1197-nantes---chateaubriant",2014
257,258,"commuter_rail","1197-nantes---chateaubriant",2014
257,258,"commuter_rail","1197-nantes---chateaubriant",2014
259,260,"commuter_rail","1197-nantes---chateaubriant",2014
261,262,"commuter_rail","1196-nantes---clisson",2011
261,262,"commuter_rail","1196-nantes---clisson",2011
262,263,"commuter_rail","1196-nantes---clisson",2011
262,264,"commuter_rail","1196-nantes---clisson",2011
199,201,"light_rail","318-tram-ligne-3",2007
47,137,"default","510-navibus-erdre",2007
200,202,"light_rail","318-tram-ligne-3",2007
43,49,"default","510-navibus-erdre",2005
45,137,"default","510-navibus-erdre",2005
41,51,"default","509-passeur-de-loire",2007
45,46,"default","510-navibus-erdre",2006
47,137,"default","510-navibus-erdre",2005
47,49,"default","510-navibus-erdre",2005
202,215,"light_rail","317-tram-ligne-2",1992
41,42,"default","508-navibus-loire",2005
54,219,"default","520-nord-sud",1888
23,40,"light_rail","318-tram-ligne-3",2007
43,50,"default","510-navibus-erdre",2005
52,55,"default","519-doulon---gare-maritime",1880
52,57,"default","519-doulon---gare-maritime",1879
5,104,"light_rail","316-tram-ligne-1",2007
5,108,"light_rail","316-tram-ligne-1",1985
207,208,"light_rail","317-tram-ligne-2",2007
145,153,"light_rail","317-tram-ligne-2",1994
207,208,"light_rail","317-tram-ligne-2",2007
158,163,"light_rail","317-tram-ligne-2",1994
153,154,"light_rail","317-tram-ligne-2",1994
206,208,"light_rail","317-tram-ligne-2",2007
154,163,"light_rail","317-tram-ligne-2",1994
154,163,"light_rail","317-tram-ligne-2",1994
