"nodeID_from","nodeID_to","mode","line","year"
2,8,"light_rail","348-ligne-3",1897
29,54,"light_rail","346-ligne-1",1897
15,29,"light_rail","347-ligne-2",1897
2,50,"light_rail","348-ligne-3",1916
30,33,"light_rail","349-ligne-4",1897
1,9,"heavy_rail","322-metro-a",2002
4,55,"heavy_rail","323-metro-b",2020
1,12,"heavy_rail","322-metro-a",2002
1,11,"heavy_rail","322-metro-a",2002
13,14,"heavy_rail","322-metro-a",2002
13,15,"heavy_rail","322-metro-a",2002
20,24,"heavy_rail","322-metro-a",2002
23,32,"heavy_rail","322-metro-a",2002
36,39,"heavy_rail","322-metro-a",2002
37,38,"heavy_rail","322-metro-a",2002
44,45,"heavy_rail","322-metro-a",2002
43,45,"heavy_rail","322-metro-a",2002
44,47,"heavy_rail","322-metro-a",2002
44,46,"heavy_rail","322-metro-a",2002
48,51,"heavy_rail","323-metro-b",2020
42,44,"heavy_rail","322-metro-a",2002
4,55,"heavy_rail","323-metro-b",2020
50,52,"heavy_rail","323-metro-b",2020
50,52,"heavy_rail","323-metro-b",2020
61,65,"heavy_rail","323-metro-b",2020
66,67,"heavy_rail","323-metro-b",2020
11,13,"heavy_rail","322-metro-a",2002
10,12,"heavy_rail","322-metro-a",2002
10,13,"heavy_rail","322-metro-a",2002
17,20,"heavy_rail","322-metro-a",2002
16,21,"heavy_rail","322-metro-a",2002
14,16,"heavy_rail","322-metro-a",2002
15,17,"heavy_rail","322-metro-a",2002
21,23,"heavy_rail","322-metro-a",2002
24,33,"heavy_rail","322-metro-a",2002
4,52,"heavy_rail","323-metro-b",2020
4,52,"heavy_rail","323-metro-b",2020
33,35,"heavy_rail","322-metro-a",2002
41,43,"heavy_rail","322-metro-a",2002
32,34,"heavy_rail","322-metro-a",2002
34,36,"heavy_rail","322-metro-a",2002
39,40,"heavy_rail","322-metro-a",2002
40,42,"heavy_rail","322-metro-a",2002
38,41,"heavy_rail","322-metro-a",2002
35,37,"heavy_rail","322-metro-a",2002
50,51,"heavy_rail","323-metro-b",2020
48,50,"heavy_rail","323-metro-b",2020
61,65,"heavy_rail","323-metro-b",2020
65,67,"heavy_rail","323-metro-b",2020
55,61,"heavy_rail","323-metro-b",2020
55,61,"heavy_rail","323-metro-b",2020
65,67,"heavy_rail","323-metro-b",2020
