"nodeID_from","nodeID_to","mode","line","year"
2,15,"default","590-1",0
2,36,"default","590-1",0
23,28,"default","345-3",0
16,18,"default","345-3",0
16,19,"default","345-3",0
16,17,"default","345-3",0
19,23,"default","345-3",0
28,32,"default","345-3",0
32,33,"default","345-3",0
18,23,"default","345-3",0
33,34,"default","345-3",0
32,33,"default","345-3",0
7,34,"default","345-3",0
33,39,"default","345-3",0
41,42,"default","345-3",0
41,43,"default","345-3",0
53,56,"default","345-3",0
7,39,"default","345-3",0
7,36,"default","590-1",0
7,15,"default","590-1",0
7,43,"default","345-3",0
41,42,"default","345-3",0
7,41,"default","345-3",0
15,48,"default","590-1",0
41,48,"default","345-3",0
15,49,"default","590-1",0
48,49,"default","590-1",0
56,57,"default","345-3",0
56,57,"default","345-3",0
48,77,"default","590-1",0
48,50,"default","590-1",0
48,56,"default","345-3",0
57,59,"default","345-3",0
57,61,"default","345-3",0
48,53,"default","345-3",0
67,69,"default","591-6",0
67,69,"default","591-6",0
81,82,"default","590-1",0
81,82,"default","590-1",0
84,85,"default","590-1",0
81,83,"default","590-1",0
76,79,"default","592-stb",0
78,79,"default","592-stb",0
78,79,"default","592-stb",0
50,77,"default","590-1",0
71,76,"default","590-1",0
76,78,"default","590-1",0
77,78,"default","590-1",0
77,78,"default","590-1",0
78,80,"default","590-1",0
71,80,"default","590-1",0
73,82,"default","592-stb",0
73,77,"default","592-stb",0
84,87,"default","590-1",0
76,77,"default","592-stb",0
83,85,"default","590-1",0
84,85,"default","590-1",0
88,89,"default","590-1",0
88,89,"default","590-1",0
90,92,"default","590-1",0
89,90,"default","590-1",0
86,87,"default","590-1",0
86,88,"default","590-1",0
100,101,"default","590-1",0
94,95,"default","590-1",0
100,101,"default","590-1",0
91,93,"default","590-1",0
92,93,"default","590-1",0
92,93,"default","590-1",0
95,96,"default","590-1",0
95,96,"default","590-1",0
91,96,"default","590-1",0
97,98,"default","590-1",0
97,99,"default","590-1",0
97,99,"default","590-1",0
94,99,"default","590-1",0
103,104,"default","590-1",0
102,105,"default","590-1",0
98,101,"default","590-1",0
106,107,"default","590-1",0
103,105,"default","590-1",0
103,104,"default","590-1",0
102,105,"default","590-1",0
104,106,"default","590-1",0
41,48,"default","345-3",0
23,32,"default","345-3",0
71,72,"default","591-6",0
68,72,"default","591-6",0
68,69,"default","591-6",0
65,67,"default","591-6",0
