"nodeID_from","nodeID_to","mode","line","year"
2,3,"light_rail","953-a",2011
2,3,"light_rail","953-a",2011
1,2,"light_rail","953-a",2011
23,24,"light_rail","953-a",2011
23,24,"light_rail","953-a",2011
31,34,"light_rail","953-a",2011
31,32,"light_rail","953-a",2011
31,32,"light_rail","953-a",2011
31,34,"light_rail","953-a",2011
34,60,"light_rail","953-a",2022
1,2,"light_rail","953-a",2011
23,24,"light_rail","953-a",2011
23,24,"light_rail","953-a",2011
24,26,"light_rail","953-a",2011
24,26,"light_rail","953-a",2011
30,58,"light_rail","953-a",2011
32,58,"light_rail","953-a",2011
30,58,"light_rail","953-a",2011
46,47,"light_rail","953-a",2011
47,49,"light_rail","953-a",2011
50,58,"light_rail","954-b",2022
50,58,"light_rail","955-c",2022
1,4,"light_rail","953-a",2011
1,4,"light_rail","953-a",2011
4,12,"light_rail","953-a",2011
4,12,"light_rail","953-a",2011
11,12,"light_rail","953-a",2011
12,24,"light_rail","953-a",2011
11,24,"light_rail","953-a",2011
40,42,"light_rail","953-a",2011
42,43,"light_rail","953-a",2011
42,43,"light_rail","953-a",2011
60,67,"light_rail","954-b",2022
27,60,"light_rail","953-a",2022
27,60,"light_rail","954-b",2022
25,26,"light_rail","953-a",2011
25,26,"light_rail","953-a",2011
25,59,"light_rail","953-a",2011
25,59,"light_rail","953-a",2011
27,30,"light_rail","953-a",2011
27,59,"light_rail","953-a",2011
27,59,"light_rail","953-a",2011
27,30,"light_rail","953-a",2011
34,35,"light_rail","953-a",2011
35,36,"light_rail","953-a",2011
34,36,"light_rail","953-a",2011
37,38,"light_rail","953-a",2011
35,38,"light_rail","953-a",2011
35,38,"light_rail","953-a",2011
37,41,"light_rail","953-a",2011
38,42,"light_rail","953-a",2011
43,49,"light_rail","953-a",2011
40,41,"light_rail","953-a",2011
