"nodeID_from","nodeID_to","mode","line","year"
10,16,"heavy_rail","306-1",0
10,16,"heavy_rail","902-5",0
10,11,"heavy_rail","306-1",0
10,11,"heavy_rail","901-2",0
10,11,"heavy_rail","902-5",0
10,11,"heavy_rail","903-6",0
16,32,"heavy_rail","902-5",0
11,36,"heavy_rail","902-5",0
10,43,"heavy_rail","901-2",0
10,43,"heavy_rail","903-6",0
43,44,"heavy_rail","901-2",0
65,73,"light_rail","904-3",0
65,73,"light_rail","906-7",0
72,73,"light_rail","904-3",0
72,73,"light_rail","905-4",0
55,72,"tram","912-51",0
55,72,"light_rail","905-4",0
55,72,"light_rail","904-3",0
11,56,"heavy_rail","903-6",0
11,56,"heavy_rail","901-2",0
73,97,"light_rail","905-4",0
73,97,"tram","917-92",0
75,81,"light_rail","904-3",0
1,81,"light_rail","904-3",0
1,81,"light_rail","906-7",0
65,96,"light_rail","906-7",0
53,96,"light_rail","2143-8",0
53,96,"tram","918-93",0
2,67,"light_rail","904-3",0
2,67,"tram","908-25",0
48,67,"tram","909-32",0
48,67,"light_rail","905-4",0
48,67,"light_rail","904-3",0
48,67,"tram","908-25",0
96,127,"light_rail","906-7",0
96,127,"tram","908-25",0
82,96,"light_rail","2143-8",0
82,96,"tram","908-25",0
2,53,"tram","918-93",0
2,53,"tram","917-92",0
2,95,"tram","917-92",0
2,67,"tram","909-32",0
2,83,"tram","909-32",0
55,56,"tram","912-51",0
55,56,"light_rail","905-4",0
55,56,"light_rail","904-3",0
55,56,"heavy_rail","903-6",0
55,56,"heavy_rail","901-2",0
2,83,"tram","913-55",0
2,67,"tram","913-55",0
48,67,"tram","913-55",0
43,80,"tram","907-19",0
43,59,"light_rail","2144-9",0
59,79,"light_rail","2144-9",0
43,59,"tram","907-19",0
62,81,"light_rail","906-7",0
62,64,"light_rail","906-7",0
62,81,"tram","907-19",0
20,21,"light_rail","2143-8",0
17,20,"tram","910-39",0
17,20,"tram","911-44",0
62,90,"tram","907-19",0
88,90,"tram","912-51",0
59,90,"tram","907-19",0
45,46,"heavy_rail","903-6",0
45,46,"heavy_rail","901-2",0
46,47,"heavy_rail","901-2",0
46,47,"heavy_rail","903-6",0
47,55,"heavy_rail","901-2",0
47,55,"heavy_rail","903-6",0
46,47,"tram","912-51",0
46,90,"tram","912-51",0
72,87,"tram","912-51",0
88,90,"tram","918-93",0
90,138,"tram","918-93",0
1,138,"light_rail","904-3",0
2,138,"light_rail","904-3",0
2,138,"tram","918-93",0
2,127,"tram","908-25",0
2,138,"tram","914-62",0
90,138,"tram","914-62",0
2,127,"tram","914-62",0
1,127,"light_rail","906-7",0
89,127,"tram","914-62",0
94,97,"tram","917-92",0
74,84,"tram","909-32",0
74,97,"light_rail","905-4",0
74,97,"tram","920-97",0
72,74,"tram","909-32",0
72,74,"tram","920-97",0
53,71,"tram","917-92",0
71,73,"tram","917-92",0
53,71,"tram","920-97",0
72,74,"tram","916-82",0
74,84,"tram","916-82",0
47,91,"tram","912-51",0
56,69,"light_rail","904-3",0
56,69,"light_rail","905-4",0
56,69,"tram","909-32",0
48,69,"light_rail","904-3",0
48,69,"light_rail","905-4",0
48,69,"tram","909-32",0
69,91,"tram","912-51",0
69,91,"tram","916-82",0
56,69,"tram","912-51",0
56,69,"tram","916-82",0
91,93,"tram","916-82",0
17,25,"heavy_rail","306-1",0
16,17,"heavy_rail","306-1",0
16,17,"tram","915-81",0
16,71,"tram","915-81",0
71,72,"tram","920-97",0
4,56,"tram","916-82",0
4,56,"tram","909-32",0
4,72,"tram","916-82",0
4,72,"tram","909-32",0
4,56,"tram","915-81",0
4,71,"tram","915-81",0
56,92,"tram","915-81",0
2,4,"commuter_rail","2178-s1",0
2,4,"commuter_rail","2187-s10",0
2,4,"commuter_rail","2179-s2",0
2,4,"commuter_rail","2180-s3",0
2,4,"commuter_rail","2183-s6",0
2,4,"commuter_rail","2185-s8",0
2,138,"commuter_rail","2183-s6",0
2,138,"commuter_rail","2179-s2",0
2,138,"commuter_rail","2178-s1",0
1,138,"commuter_rail","2178-s1",0
1,138,"commuter_rail","2179-s2",0
1,138,"commuter_rail","2183-s6",0
2,138,"commuter_rail","2187-s10",0
2,138,"commuter_rail","2180-s3",0
2,138,"commuter_rail","2185-s8",0
1,138,"commuter_rail","2188-s81",0
118,120,"commuter_rail","2187-s10",0
118,120,"commuter_rail","2181-s4",0
118,138,"commuter_rail","2180-s3",0
118,138,"commuter_rail","2187-s10",0
118,138,"commuter_rail","2181-s4",0
121,138,"commuter_rail","2188-s81",0
121,138,"commuter_rail","2185-s8",0
121,138,"commuter_rail","2181-s4",0
121,135,"commuter_rail","2188-s81",0
121,135,"commuter_rail","2185-s8",0
121,135,"commuter_rail","2181-s4",0
121,135,"commuter_rail","2182-s5",0
121,135,"commuter_rail","2186-s9",0
134,135,"commuter_rail","2186-s9",0
100,112,"commuter_rail","2178-s1",0
112,134,"commuter_rail","2178-s1",0
112,134,"commuter_rail","2186-s9",0
134,135,"commuter_rail","2182-s5",0
134,135,"commuter_rail","2184-s7",0
4,134,"commuter_rail","2178-s1",0
