"nodeID_from","nodeID_to","mode","line","year"
2,52,"default","967-a",1987
16,17,"default","967-a",1987
16,17,"default","967-a",1987
17,30,"default","967-a",1987
17,31,"default","967-a",1987
40,41,"default","967-a",1996
40,46,"default","967-a",1996
40,46,"default","967-a",1996
1,2,"default","967-a",1987
30,31,"default","967-a",1987
31,38,"default","967-a",1987
31,38,"default","967-a",1987
52,60,"default","967-a",1987
52,60,"default","967-a",1987
60,61,"default","967-a",1987
62,73,"default","967-a",1987
62,73,"default","967-a",1987
65,73,"default","967-a",1987
65,73,"default","967-a",1987
1,2,"default","968-b",1987
2,52,"default","968-b",1987
1,52,"default","968-b",1987
2,77,"default","968-b",1990
2,77,"default","968-b",1990
79,81,"default","968-b",1990
81,86,"default","968-b",1990
2,16,"default","967-a",1987
2,16,"default","967-a",1987
34,40,"default","967-a",1996
38,41,"default","967-a",1996
34,38,"default","967-a",1987
75,77,"default","968-b",1990
75,77,"default","968-b",1990
75,78,"default","968-b",1990
75,79,"default","968-b",1990
1,52,"default","967-a",1987
1,52,"default","967-a",1987
61,62,"default","967-a",1987
60,62,"default","967-a",1987
78,79,"default","968-b",1990
52,60,"default","968-b",1987
52,60,"default","968-b",1987
60,61,"default","968-b",1987
85,86,"default","968-b",1990
85,87,"default","968-b",2006
85,92,"default","968-b",2006
85,86,"default","968-b",1990
97,101,"default","969-c",2006
97,101,"default","969-c",2006
17,115,"default","969-c",2006
17,115,"default","969-c",2006
16,17,"default","969-c",1987
16,17,"default","969-c",1987
122,123,"default","969-c",2006
92,93,"default","969-c",2006
85,92,"default","969-c",2006
85,87,"default","969-c",2006
85,86,"default","969-c",1990
85,86,"default","969-c",1990
3,146,"default","971-e",2014
3,146,"default","971-e",2014
168,169,"default","972-grenoble-bastille",1934
51,60,"default","968-b",1999
53,61,"default","968-b",1999
92,96,"default","968-b",2006
97,115,"default","969-c",2006
97,115,"default","969-c",2006
82,86,"default","969-c",2006
82,86,"default","969-c",2006
82,123,"default","969-c",2006
82,123,"default","969-c",2006
80,82,"default","970-d",2007
82,123,"default","970-d",2006
82,123,"default","970-d",2006
123,131,"default","970-d",2007
123,131,"default","970-d",2007
146,148,"default","971-e",2014
148,151,"default","971-e",2015
147,151,"default","971-e",2015
146,147,"default","971-e",2014
163,164,"default","971-e",2015
163,164,"default","971-e",2015
87,96,"default","968-b",2006
54,59,"default","968-b",2014
53,54,"default","968-b",2001
50,51,"default","968-b",2001
50,59,"default","968-b",2014
16,123,"default","969-c",2006
16,122,"default","969-c",2006
3,138,"default","971-e",2014
3,138,"default","971-e",2014
151,164,"default","971-e",2015
151,164,"default","971-e",2015
