"nodeID_from","nodeID_to","mode","line","year"
10,12,"heavy_rail","4378-m1",1979
12,15,"heavy_rail","4378-m1",1979
12,21,"heavy_rail","4380-m3",1983
10,34,"heavy_rail","4378-m1",1981
10,12,"heavy_rail","4380-m3",1983
10,34,"heavy_rail","4380-m3",1983
34,49,"heavy_rail","4378-m1",1981
15,16,"heavy_rail","4378-m1",1984
1,16,"heavy_rail","4378-m1",1987
1,3,"heavy_rail","4378-m1",1987
1,2,"heavy_rail","4381-m4",2000
49,50,"heavy_rail","4378-m1",1991
3,33,"heavy_rail","4378-m1",1989
34,57,"heavy_rail","4380-m3",2008
6,43,"heavy_rail","4379-m2",1986
6,46,"heavy_rail","4379-m2",1987
1,36,"heavy_rail","4381-m4",2000
36,60,"heavy_rail","4381-m4",2011
60,62,"heavy_rail","4381-m4",2017
13,30,"heavy_rail","4382-m5",2020
28,29,"heavy_rail","4382-m5",2020
43,58,"heavy_rail","4379-m2",2023
13,53,"heavy_rail","4382-m5",2025
50,53,"heavy_rail","4382-m5",2032
