"nodeID_from","nodeID_to","mode","line","year"
3,7,"light_rail","1189-ligne-2",2012
2,6,"light_rail","1189-ligne-2",2012
12,18,"light_rail","1189-ligne-2",2012
12,18,"light_rail","1189-ligne-2",2012
17,18,"light_rail","1188-ligne-1",2012
18,21,"light_rail","1188-ligne-1",2012
18,21,"light_rail","1189-ligne-2",2012
18,25,"light_rail","1188-ligne-1",2012
18,25,"light_rail","1189-ligne-2",2012
25,33,"light_rail","1189-ligne-2",2012
25,56,"light_rail","1188-ligne-1",2012
25,33,"light_rail","1189-ligne-2",2012
21,25,"light_rail","1188-ligne-1",2012
21,25,"light_rail","1189-ligne-2",2012
25,55,"light_rail","1188-ligne-1",2012
33,37,"light_rail","1189-ligne-2",2012
33,37,"light_rail","1189-ligne-2",2012
37,44,"light_rail","1189-ligne-2",2012
37,45,"light_rail","1189-ligne-2",2012
55,59,"light_rail","1188-ligne-1",2012
56,59,"light_rail","1188-ligne-1",2012
59,61,"light_rail","1188-ligne-1",2012
59,60,"light_rail","1188-ligne-1",2012
61,65,"light_rail","1188-ligne-1",2012
60,63,"light_rail","1188-ligne-1",2012
63,65,"light_rail","1188-ligne-1",2012
3,12,"light_rail","1189-ligne-2",2012
2,12,"light_rail","1189-ligne-2",2012
