"nodeID_from","nodeID_to","mode","line","year"
9,11,"light_rail","950-a",2013
28,30,"light_rail","950-a",2013
28,30,"light_rail","950-a",2013
28,29,"light_rail","950-a",2013
39,41,"light_rail","950-a",2013
11,19,"light_rail","950-a",2013
44,51,"light_rail","950-a",2013
44,51,"light_rail","950-a",2013
49,51,"light_rail","950-a",2013
49,51,"light_rail","950-a",2013
31,36,"light_rail","950-a",2013
9,25,"light_rail","950-a",2013
9,25,"light_rail","950-a",2013
9,19,"light_rail","950-a",2013
26,27,"light_rail","950-a",0
26,30,"light_rail","950-a",2013
36,41,"light_rail","950-a",2013
32,39,"light_rail","950-a",2013
25,27,"light_rail","950-a",2013
25,26,"light_rail","950-a",2013
28,29,"light_rail","950-a",2013
29,31,"light_rail","950-a",2013
29,32,"light_rail","950-a",2013
41,44,"light_rail","950-a",2013
41,44,"light_rail","950-a",2013
49,62,"light_rail","950-a",2013
49,61,"light_rail","950-a",2013
