"nodeID_from","nodeID_to","mode","line","year"
17,30,"light_rail","958-m",1994
17,30,"light_rail","958-m",1994
31,32,"light_rail","958-m",1994
31,32,"light_rail","958-m",1994
17,30,"light_rail","958-m",1994
17,27,"light_rail","958-m",1994
17,27,"light_rail","958-m",1994
41,42,"light_rail","958-m",1994
41,42,"light_rail","958-m",1994
11,16,"light_rail","958-m",1997
16,22,"light_rail","958-m",1997
17,22,"light_rail","958-m",1994
1,17,"light_rail","958-m",1994
1,11,"light_rail","958-m",1997
29,30,"light_rail","958-m",1994
29,30,"light_rail","958-m",1994
29,31,"light_rail","958-m",1994
29,31,"light_rail","958-m",1994
34,41,"light_rail","958-m",1994
34,41,"light_rail","958-m",1994
31,34,"light_rail","958-m",1994
31,34,"light_rail","958-m",1994
43,45,"brt","961-t3",2001
47,48,"brt","960-t2",2001
47,50,"brt","960-t2",2007
43,52,"brt","961-t3",2007
47,49,"brt","959-t1",2002
42,47,"brt","959-t1",2008
42,47,"brt","962-t4",2022
42,57,"brt","962-t4",2019
1,58,"bus","4600-f3",2014
1,39,"bus","4600-f3",2014
1,49,"bus","4604-f7",2022
46,50,"bus","4605-f8",2022
