"nodeID_from","nodeID_to","mode","line","year"
24,28,"heavy_rail","4128-line-1",1986
20,24,"heavy_rail","4128-line-1",1984
19,20,"heavy_rail","4128-line-1",1994
18,19,"heavy_rail","4128-line-1",1995
12,13,"heavy_rail","4128-line-1",1984
7,12,"heavy_rail","4128-line-1",2013
7,9,"heavy_rail","4128-line-1",2021
30,32,"heavy_rail","4128-line-1",2010
28,30,"heavy_rail","4128-line-1",2009
13,14,"heavy_rail","4128-line-1",1994
14,18,"heavy_rail","4128-line-1",1995
6,50,"heavy_rail","4129-line-2",2020
33,34,"heavy_rail","4129-line-2",2022
6,33,"heavy_rail","4129-line-2",2020
35,40,"heavy_rail","4434-line-3",2022
50,63,"heavy_rail","4436-line-6",
7,63,"heavy_rail","4435-line-4",2025
35,64,"heavy_rail","4434-line-3",2024
58,64,"heavy_rail","4434-line-3",
34,58,"heavy_rail","4129-line-2",2025
58,60,"heavy_rail","4129-line-2",2024
42,45,"heavy_rail","4436-line-6",2024
45,49,"heavy_rail","4436-line-6",2025
49,50,"heavy_rail","4436-line-6",
