"nodeID_from","nodeID_to","mode","line","year"
2,4,"light_rail","1003-t1",2007
1,3,"light_rail","1003-t1",2007
4,6,"light_rail","1003-t1",2007
2,20,"light_rail","1003-t1",2007
1,19,"light_rail","1003-t1",2007
20,27,"light_rail","1003-t1",2007
19,27,"light_rail","1003-t1",2007
27,32,"light_rail","1003-t1",2007
27,32,"light_rail","1003-t1",2007
31,33,"light_rail","1003-t1",2013
31,33,"light_rail","1003-t1",2013
31,34,"light_rail","1003-t1",2013
32,33,"light_rail","1003-t1",2007
32,33,"light_rail","1003-t1",2007
