"nodeID_from","nodeID_to","mode","line","year"
1,3,"light_rail","1242-r",1909
1,3,"light_rail","1243-t",1909
1,3,"light_rail","1242-r",1909
1,3,"light_rail","1243-t",1909
2,3,"light_rail","1242-r",1909
2,3,"light_rail","1243-t",1909
3,4,"light_rail","1242-r",1909
3,4,"light_rail","1243-t",1909
4,5,"light_rail","1242-r",1909
4,5,"light_rail","1243-t",1909
4,5,"light_rail","1242-r",1909
4,5,"light_rail","1243-t",1909
2,4,"light_rail","1242-r",1909
2,4,"light_rail","1243-t",1909
7,8,"heavy_rail","1241-2",1999
8,11,"heavy_rail","1241-2",2000
2,14,"heavy_rail","1241-2",1994
13,14,"heavy_rail","1241-2",1989
1,2,"heavy_rail","1240-1",1983
1,2,"heavy_rail","1240-1",1983
2,16,"heavy_rail","1241-2",1995
2,18,"heavy_rail","1240-1",1983
18,19,"heavy_rail","1240-1",1983
1,22,"heavy_rail","1240-1",1983
20,22,"heavy_rail","1240-1",1984
20,25,"heavy_rail","1240-1",1984
24,28,"heavy_rail","1241-2",1989
28,29,"heavy_rail","1241-2",1989
29,30,"heavy_rail","1241-2",1989
16,33,"heavy_rail","1241-2",1995
33,34,"heavy_rail","1241-2",1995
