"nodeID_from","nodeID_to","mode","line","year"
2,5,"light_rail","1185-a",2012
2,5,"light_rail","1186-b",2012
3,5,"light_rail","1185-a",2012
3,5,"light_rail","1186-b",2012
5,9,"light_rail","1185-a",2012
5,9,"light_rail","1186-b",2012
5,9,"light_rail","1185-a",2012
5,9,"light_rail","1186-b",2012
7,9,"light_rail","1185-a",2012
7,9,"light_rail","1186-b",2012
9,11,"light_rail","1185-a",2012
9,11,"light_rail","1186-b",2012
7,14,"light_rail","1185-a",2012
7,14,"light_rail","1186-b",2012
11,14,"light_rail","1185-a",2012
11,14,"light_rail","1186-b",2012
14,17,"light_rail","1185-a",2012
14,17,"light_rail","1186-b",2012
14,17,"light_rail","1185-a",2012
14,17,"light_rail","1186-b",2012
23,24,"light_rail","1185-a",2012
23,24,"light_rail","1185-a",2012
17,23,"light_rail","1185-a",2012
17,23,"light_rail","1185-a",2012
24,29,"light_rail","1185-a",2012
24,30,"light_rail","1185-a",2012
17,35,"light_rail","1186-b",2012
17,39,"light_rail","1186-b",2012
