"nodeID_from","nodeID_to","mode","line","year"
7,16,"heavy_rail","3490-gold-line",2019
16,29,"heavy_rail","3490-gold-line",2019
29,57,"heavy_rail","3490-gold-line",2019
30,57,"heavy_rail","3490-gold-line",2019
19,28,"heavy_rail","3488-red-line",2019
28,36,"heavy_rail","3488-red-line",2019
34,35,"heavy_rail","3488-red-line",2019
28,34,"heavy_rail","3488-red-line",2019
19,37,"heavy_rail","3488-red-line",2019
39,69,"heavy_rail","3488-red-line",2019
40,69,"heavy_rail","3488-red-line",2019
37,40,"heavy_rail","3488-red-line",2019
44,49,"tram","3492-yellow-line",2021
49,50,"tram","3492-yellow-line",2021
44,55,"tram","3491-blue-line",2019
44,52,"tram","3491-blue-line",2019
44,52,"tram","3492-yellow-line",2021
51,52,"tram","3491-blue-line",2019
51,52,"tram","3492-yellow-line",2021
52,55,"tram","3491-blue-line",2019
59,61,"tram","3497-msheireb-tram",2019
58,59,"tram","3497-msheireb-tram",2019
57,58,"tram","3497-msheireb-tram",2019
57,61,"tram","3497-msheireb-tram",2019
37,63,"tram","3493-orange-line",2022
63,67,"tram","3493-orange-line",2022
67,68,"tram","3493-orange-line",2022
68,69,"tram","3493-orange-line",2022
