"nodeID_from","nodeID_to","mode","line","year"
40,359,"heavy_rail","3661-m7",2028
359,365,"heavy_rail","3661-m7",2029
1,2,"heavy_rail","3653-m2",2011
8,10,"heavy_rail","3653-m2",2000
10,12,"heavy_rail","3653-m2",2000
12,13,"heavy_rail","3653-m2",2000
4,7,"heavy_rail","3653-m2",2014
7,8,"heavy_rail","3653-m2",2009
13,15,"heavy_rail","3653-m2",2009
15,16,"heavy_rail","3653-m2",2010
3,16,"heavy_rail","3653-m2",2011
4,17,"light_rail","3654-m1",2014
17,22,"light_rail","3654-m1",1989
29,30,"light_rail","3654-m1",1995
30,31,"light_rail","3654-m1",1995
25,38,"light_rail","3655-m1b",2014
38,46,"heavy_rail","3657-m3",2013
42,48,"heavy_rail","3657-m3",2014
42,48,"heavy_rail","3662-m9",2021
42,50,"heavy_rail","3662-m9",2021
67,69,"heavy_rail","3658-m4",2016
66,67,"heavy_rail","3658-m4",2016
51,66,"heavy_rail","3658-m4",2012
71,82,"light_rail","3663-t1",1992
71,83,"light_rail","3663-t1",1994
82,89,"light_rail","3663-t1",1996
92,93,"light_rail","3663-t1",2006
89,92,"light_rail","3663-t1",2005
83,94,"light_rail","3663-t1",2006
12,102,"heavy_rail","3660-m6",2015
10,40,"heavy_rail","3661-m7",2020
118,126,"heavy_rail","3659-m5",2017
126,133,"heavy_rail","3659-m5",2018
134,151,"light_rail","3665-t4",2007
134,155,"light_rail","3665-t4",2009
167,169,"light_rail","3666-t5",2023
156,167,"light_rail","3666-t5",2021
8,93,"light_rail","3683-f1",2006
170,171,"tram","3685-f2",1875
172,176,"tram","3684-t2",1990
52,191,"commuter_rail","3686-marmaray",2013
180,191,"commuter_rail","3686-marmaray",2019
52,218,"commuter_rail","3686-marmaray",2019
220,229,"heavy_rail","3687-m8",2023
230,237,"heavy_rail","3688-m12",2026
38,243,"heavy_rail","3657-m3",2024
46,247,"heavy_rail","3657-m3",2023
38,180,"light_rail","3655-m1b",2027
50,187,"heavy_rail","3662-m9",2024
102,274,"light_rail","3710-f4",2022
69,212,"heavy_rail","3658-m4",2027
69,286,"heavy_rail","3658-m4",2022
207,286,"heavy_rail","3689-m10",2026
31,34,"light_rail","3654-m1",2022
286,289,"heavy_rail","3658-m4",2022
30,296,"light_rail","3654-m1",2022
297,312,"brt","4114-metrobus",2007
297,322,"brt","4114-metrobus",2008
322,328,"brt","4114-metrobus",2009
312,339,"brt","4114-metrobus",2012
180,340,"commuter_rail","4123-b2---bahceşehir---halkalı",2022
191,341,"light_rail","4124-kazlıceşme---sirkeci-gar",2024
93,178,"heavy_rail","3661-m7",2027
10,178,"heavy_rail","3661-m7",2023
17,22,"light_rail","3655-m1b",1989
23,25,"light_rail","3655-m1b",2012
22,23,"light_rail","3654-m1",1994
22,23,"light_rail","3655-m1b",1994
23,29,"light_rail","3654-m1",1994
4,17,"light_rail","3655-m1b",2014
11,248,"heavy_rail","3690-u",2024
248,254,"heavy_rail","3690-u",2023
254,257,"heavy_rail","3690-u",2024
180,257,"heavy_rail","3690-u",2026
348,351,"heavy_rail","4730-m13",2032
192,351,"heavy_rail","4730-m13",2032
286,289,"heavy_rail","3689-m10",2026
133,280,"heavy_rail","3659-m5",2024
121,342,"heavy_rail","4125-m14",2026
342,347,"heavy_rail","4125-m14",
280,282,"heavy_rail","3659-m5",2024
282,285,"heavy_rail","3659-m5",2026
163,372,"light_rail","6089-t7",2027
