"nodeID_from","nodeID_to","mode","line","year"
6,8,"heavy_rail","3764-fahrettin-altay–evka-3-line",2012
12,15,"heavy_rail","3764-fahrettin-altay–evka-3-line",2012
14,15,"heavy_rail","3764-fahrettin-altay–evka-3-line",2014
14,16,"heavy_rail","3764-fahrettin-altay–evka-3-line",2014
6,12,"heavy_rail","3764-fahrettin-altay–evka-3-line",2000
4,18,"commuter_rail","3773-i̇zban",2010
4,29,"commuter_rail","3773-i̇zban",2010
29,47,"commuter_rail","3773-i̇zban",2011
16,53,"heavy_rail","3764-fahrettin-altay–evka-3-line",2024
55,72,"light_rail","3774-t2",2018
69,71,"light_rail","3774-t2",2018
18,102,"commuter_rail","3773-i̇zban",2016
102,105,"commuter_rail","3773-i̇zban",2017
75,119,"light_rail","3775-t1",2024
113,119,"light_rail","3778-t3b",2024
113,119,"light_rail","3778-t3b",2024
74,75,"light_rail","3775-t1",2017
75,76,"light_rail","3775-t1",2017
75,76,"light_rail","4679-t4",2024
74,75,"light_rail","4679-t4",2024
113,119,"light_rail","3775-t1",2024
113,119,"light_rail","3775-t1",2024
106,113,"light_rail","3775-t1",2024
12,90,"heavy_rail","3776-ucyol---camlıkule",
12,96,"heavy_rail","3776-ucyol---camlıkule",2027
84,127,"light_rail","5826-t4",2028
76,83,"light_rail","3775-t1",2017
84,87,"light_rail","3775-t1",2017
83,84,"light_rail","3775-t1",2017
83,84,"light_rail","5826-t4",2027
96,131,"heavy_rail","3776-ucyol---camlıkule",2027
