"nodeID_from","nodeID_to","mode","line","year"
1,8,"heavy_rail","3762-line-1",2002
1,8,"heavy_rail","3763-line-2",2002
7,13,"heavy_rail","3763-line-2",2002
7,8,"heavy_rail","3763-line-2",2002
2,4,"heavy_rail","3762-line-1",2002
2,8,"heavy_rail","3762-line-1",2002
4,9,"heavy_rail","3762-line-1",2002
9,11,"heavy_rail","3762-line-1",2011
11,12,"heavy_rail","3762-line-1",2011
13,14,"heavy_rail","3763-line-2",2002
15,18,"heavy_rail","3763-line-2",2010
14,15,"heavy_rail","3763-line-2",2010
17,18,"heavy_rail","3763-line-2",2010
19,20,"heavy_rail","3763-line-2",2011
17,19,"heavy_rail","3763-line-2",2011
1,22,"heavy_rail","3762-line-1",2002
1,22,"heavy_rail","3763-line-2",2002
27,29,"heavy_rail","3762-line-1",2008
27,29,"heavy_rail","3763-line-2",2008
22,27,"heavy_rail","3762-line-1",2002
22,27,"heavy_rail","3763-line-2",2002
29,32,"heavy_rail","3762-line-1",2008
29,32,"heavy_rail","3763-line-2",2008
30,32,"heavy_rail","3762-line-1",2008
30,32,"heavy_rail","3763-line-2",2008
30,33,"heavy_rail","3762-line-1",2008
30,33,"heavy_rail","3763-line-2",2008
33,34,"heavy_rail","3763-line-2",2014
34,36,"heavy_rail","3763-line-2",2014
36,38,"heavy_rail","3763-line-2",2014
38,39,"heavy_rail","3763-line-2",2014
39,40,"heavy_rail","3763-line-2",2014
12,44,"heavy_rail","3762-line-1",2026
45,55,"light_rail","4631-t2",2022
71,79,"tram","4632-t3",2011
21,81,"heavy_rail","3763-line-2",
