"nodeID_from","nodeID_to","mode","line","year"
8,10,"light_rail","3786-1",2004
8,10,"light_rail","3787-3",2004
1,2,"light_rail","3786-1",2004
1,2,"light_rail","3790-8",2014
1,2,"light_rail","3791-9",2014
2,3,"light_rail","3786-1",2004
2,8,"light_rail","3786-1",2004
1,70,"light_rail","3790-8",2014
1,70,"light_rail","3791-9",2014
68,70,"light_rail","3791-9",2014
70,71,"light_rail","3790-8",2014
51,53,"light_rail","3787-3",2004
51,53,"light_rail","3789-7",2014
51,60,"light_rail","3789-7",2014
8,10,"light_rail","3792-10",2014
31,36,"light_rail","3792-10",2014
2,8,"light_rail","3787-3",2014
1,2,"light_rail","3787-3",2014
2,3,"light_rail","3787-3",2014
36,40,"light_rail","3792-10",2019
40,41,"light_rail","3792-10",2019
40,46,"light_rail","3793-12",2021
36,40,"light_rail","3793-12",2021
31,36,"light_rail","3793-12",2021
10,31,"light_rail","3786-1",2004
10,31,"light_rail","3793-12",2021
10,31,"light_rail","3792-10",2014
10,51,"light_rail","3787-3",2004
10,51,"light_rail","3793-12",2021
51,53,"light_rail","3793-12",2021
11,13,"light_rail","3787-3",2004
11,13,"light_rail","3792-10",2014
8,13,"light_rail","3787-3",2004
8,13,"light_rail","3792-10",2014
13,24,"light_rail","3792-10",2021
13,19,"light_rail","3792-10",2021
10,31,"light_rail","3788-4",2004
10,51,"light_rail","3788-4",2004
51,53,"light_rail","3788-4",2004
51,53,"light_rail","7079-36-ogu---opera---otogar",2004
10,51,"light_rail","7079-36-ogu---opera---otogar",2004
8,13,"light_rail","7079-36-ogu---opera---otogar",2004
11,13,"light_rail","7079-36-ogu---opera---otogar",2004
16,17,"light_rail","7079-36-ogu---opera---otogar",2025
17,18,"light_rail","7079-36-ogu---opera---otogar",2025
18,31,"light_rail","3788-4",2004
18,31,"light_rail","3786-1",2004
8,10,"light_rail","7079-36-ogu---opera---otogar",2004
