"nodeID_from","nodeID_to","mode","line","year"
115,129,"commuter_rail","2361-donghae-line",2016
150,153,"light_rail","2362-busan-gimhae-lrt-(bgl)",2011
24,39,"heavy_rail","2273-line-1",1985
39,40,"heavy_rail","2273-line-1",1986
18,24,"heavy_rail","2273-line-1",1987
15,18,"heavy_rail","2273-line-1",1988
14,15,"heavy_rail","2273-line-1",1990
7,14,"heavy_rail","2273-line-1",1994
1,7,"heavy_rail","2273-line-1",2017
25,79,"heavy_rail","2274-line-2",1999
25,50,"heavy_rail","2274-line-2",2001
49,50,"heavy_rail","2274-line-2",2002
41,49,"heavy_rail","2274-line-2",2002
79,83,"heavy_rail","2274-line-2",2008
48,136,"heavy_rail","2275-line-3",2005
92,114,"heavy_rail","2288-line-4",2011
151,159,"high_speed_rail","2364-gyeongbu-line",2010
